Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BEXT,63,5,9,16,0,6,7,1,11,11,6,3,3
2.0,STYLE,60,2,9,13,4,16,0,3,10,17,7,4,8
3.0,SyS,57,1,8,11,3,2,8,9,3,15,1,7,6
4.0,ScL,49,13,3,3,4,5,5,2,13,18,0,10,1
5.0,WYV,46,14,0,1,8,9,0,11,1,1,9,17,0
6.0,0_Reverse,45,17,0,6,3,7,4,14,3,19,0,1,16
7.0,We Need Team,37,8,11,19,0,1,10,8,0,16,0,19,0
8.0,LLGS,36,7,0,5,3,3,10,15,3,8,3,20,0
9.0,BB,34,10,3,2,8,13,2,12,0,10,2,8,2
10.0,ARK5,34,3,5,20,0,18,0,5,1,14,3,2,4
11.0,RUG,30,15,0,4,6,8,3,10,3,6,0,5,1
12.0,YaBaL,28,16,1,18,1,10,5,6,4,5,4,9,2
13.0,Fujii Gaming,28,18,1,10,1,4,5,7,2,7,2,12,3
14.0,ICHC,26,11,0,9,1,15,0,13,0,3,9,13,3
15.0,Eclat,26,6,2,7,0,11,0,4,0,2,3,18,0
16.0,Hama9,24,12,0,8,8,12,0,16,3,4,4,16,0
17.0,EGJP,19,4,2,14,4,19,0,18,0,9,0,6,2
18.0,NrTv.Vs,13,9,2,17,3,14,0,17,0,12,3,15,0
19.0,WOW.AXIS,8,19,0,12,0,17,0,19,0,20,0,11,6
20.0,We Can Do it,7,20,0,15,1,20,0,20,0,13,3,14,0
