Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,BKMN,75,3,12,3,7,3,8,1,15,Lobby 1
2.0,REAH,39,7,3,4,10,4,2,3,4,Lobby 1
3.0,Marine,37,16,3,8,5,2,9,10,7,Lobby 1
4.0,UC,37,2,8,10,5,8,4,8,5,Lobby 1
5.0,LFT BKGK,37,4,6,7,8,13,3,2,2,Lobby 1
6.0,HIT,33,1,10,5,3,14,0,17,3,Lobby 1
7.0,SYTH,29,8,1,1,6,15,6,14,0,Lobby 1
8.0,ScL,26,6,3,11,1,1,5,12,0,Lobby 1
9.0,Solid,22,10,0,2,3,5,2,11,1,Lobby 1
10.0,YaBaL,21,12,4,16,2,7,7,9,2,Lobby 1
11.0,QueenSquadRoyal,15,19,1,6,3,6,1,5,0,Lobby 1
12.0,AVA,14,9,1,12,0,9,2,6,3,Lobby 1
13.0,mrg_gundan,12,18,1,9,1,10,0,7,3,Lobby 1
14.0,BEXT,11,5,0,15,1,12,4,19,0,Lobby 1
15.0,Ark cha Puppy,10,15,0,19,0,17,0,4,4,Lobby 1
16.0,KATENGECCH,5,17,0,18,0,18,0,13,4,Lobby 1
17.0,Serpens,5,11,1,14,0,11,1,16,0,Lobby 1
18.0,RUG,4,14,2,13,0,19,0,18,0,Lobby 1
19.0,TeamRoyHage,3,13,0,17,0,16,0,15,1,Lobby 1
1.0,Crest,56,3,6,7,10,1,10,5,4,Lobby 2
2.0,HE,44,1,10,11,5,5,8,15,3,Lobby 2
3.0,EXiA KR,41,9,1,6,2,6,4,1,14,Lobby 2
4.0,RadicalPopGaming,37,2,5,16,0,2,3,6,8,Lobby 2
5.0,Atum,33,12,0,3,3,3,4,4,6,Lobby 2
6.0,Joel Mark,29,6,13,18,0,13,1,2,2,Lobby 2
7.0,WYV,26,11,1,1,10,14,0,13,0,Lobby 2
8.0,Servelal alpha,23,16,5,9,4,12,6,7,2,Lobby 2
9.0,456,23,7,3,4,3,11,5,11,2,Lobby 2
10.0,ARK5,21,10,5,2,1,18,0,12,3,Lobby 2
11.0,NANB,21,4,1,5,3,10,1,8,3,Lobby 2
12.0,Fortuna,17,15,1,10,2,4,4,9,0,Lobby 2
13.0,monkey,15,20,0,8,5,9,3,18,3,Lobby 2
14.0,NAT,14,5,0,17,0,7,4,17,3,Lobby 2
15.0,WGT,13,13,0,12,0,16,1,3,3,Lobby 2
16.0,JDT,9,19,0,13,3,17,3,10,0,Lobby 2
17.0,Scarlet Fox,7,8,2,15,1,19,0,16,1,Lobby 2
18.0,Reinforce,5,14,0,19,0,8,2,20,0,Lobby 2
19.0,TensainoGakitati,3,17,0,14,0,15,0,14,0,Lobby 2
20.0,aim,1,18,0,20,1,20,0,19,0,Lobby 2
1.0,PiratesOfMirage,69,1,21,1,13,4,6,16,0,Lobby 3
2.0,TW,56,4,3,2,11,8,5,2,12,Lobby 3
3.0,APXRS,42,5,9,18,0,1,9,7,5,Lobby 3
4.0,ARZ,39,14,0,3,7,3,6,4,6,Lobby 3
5.0,GW,37,7,3,14,3,17,3,1,12,Lobby 3
6.0,Fujii Gaming,22,9,1,4,3,7,2,5,2,Lobby 3
7.0,C-VA KAG,21,3,10,16,0,18,0,12,3,Lobby 3
8.0,IBSG,20,18,0,5,2,12,0,3,6,Lobby 3
9.0,ORB.G,19,2,4,12,0,16,1,8,2,Lobby 3
10.0,RuinZ,18,17,0,7,0,2,3,6,0,Lobby 3
11.0,D4RK,16,19,1,11,4,11,3,11,5,Lobby 3
12.0,Zenith,11,10,0,6,1,6,2,17,0,Lobby 3
13.0,Creatives,10,15,0,15,0,5,2,10,0,Lobby 3
14.0,Ignition,9,6,0,10,0,9,1,13,0,Lobby 3
15.0,RAVENS,8,8,2,19,0,14,1,9,0,Lobby 3
16.0,LandMarkGondola,7,11,0,8,1,13,1,18,1,Lobby 3
17.0,EGJP,5,13,0,20,0,10,1,14,0,Lobby 3
18.0,Farley,4,12,0,17,2,15,0,19,0,Lobby 3
19.0,TVN,4,16,2,13,0,19,0,15,0,Lobby 3
1.0,LAG,55,5,4,3,8,2,11,2,3,Lobby 4
2.0,ORC,47,1,6,2,4,9,2,3,5,Lobby 4
3.0,NrTv.Vs,35,13,0,6,5,14,0,1,13,Lobby 4
4.0,ENG,29,16,0,15,1,1,10,15,4,Lobby 4
5.0,Ace1,28,8,2,1,8,13,1,17,2,Lobby 4
6.0,Black,25,6,7,5,1,4,1,9,2,Lobby 4
7.0,FA Club FUG,24,11,6,11,0,10,5,7,6,Lobby 4
8.0,APEX反省会,24,3,5,8,3,11,3,16,3,Lobby 4
9.0,TFC,24,19,0,9,5,3,8,10,0,Lobby 4
10.0,BeastMode,23,10,6,4,6,6,0,14,0,Lobby 4
11.0,KaisenDONDON,19,12,4,10,2,5,4,12,1,Lobby 4
12.0,SyS,19,4,0,12,2,7,0,4,3,Lobby 4
13.0,Fada-one Arcana,17,7,1,14,2,8,3,13,4,Lobby 4
14.0,Welfare,16,2,2,18,2,12,2,18,0,Lobby 4
15.0,EB,10,9,0,13,0,15,1,6,2,Lobby 4
16.0,LLGS,9,15,0,7,0,16,0,8,3,Lobby 4
17.0,OC,5,17,0,17,1,17,0,5,0,Lobby 4
18.0,Zelkova,3,14,0,16,2,19,0,19,0,Lobby 4
19.0,track,1,18,0,19,0,18,0,11,0,Lobby 4
20.0,Next,0,20,0,20,0,20,0,20,0,Lobby 4
