Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,HCH,68,5,3,12,3,1,8,2,9,5,6,11,0
2.0,WING,67,1,16,16,1,2,9,8,2,12,1,6,1
3.0,MM,56,14,1,4,7,4,3,19,0,1,12,4,5
4.0,RDM,53,6,6,17,2,3,11,17,1,17,0,2,5
5.0,SHEESH,45,9,2,7,5,7,2,1,8,19,0,10,5
6.0,TPM,44,10,5,1,11,8,5,18,0,13,1,17,0
7.0,AST,43,15,0,3,5,13,0,3,5,9,1,5,6
8.0,HVND,41,2,7,9,2,9,3,12,2,11,3,9,5
9.0,SDO,40,3,3,5,1,5,3,14,0,2,8,19,0
10.0,SSU,30,17,0,6,2,10,0,4,9,18,0,7,6
11.0,CAS,30,12,1,10,0,14,5,7,3,4,2,8,2
12.0,VOID,30,19,0,19,0,18,0,5,1,6,1,1,9
13.0,TRP,28,18,0,13,6,19,1,16,1,10,10,18,0
14.0,ASUR,27,4,0,18,0,6,2,10,4,7,0,3,1
15.0,CCE UCX,26,11,3,11,3,11,3,9,6,8,1,12,2
16.0,GSG,24,8,3,8,1,15,0,6,2,3,3,16,0
17.0,WASH,19,13,0,14,0,12,1,15,0,15,3,14,3
18.0,Cerberus,18,16,1,2,2,17,1,11,0,16,0,15,3
19.0,OA,11,7,2,15,0,16,1,13,0,14,1,13,0
20.0,LVG,0,0,0,0,0,0,0,0,0,0,0,0,0
