A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,IG,58,1,8,18,0,15,1,10,0,1,11,3,4
2.0,K1CK,57,12,4,4,2,3,5,2,13,4,1,15,4
3.0,SQG,56,5,2,14,2,1,9,7,4,3,7,5,1
4.0,FORG,54,9,0,2,10,12,2,4,6,12,1,1,5
5.0,MUT,51,6,3,8,5,19,0,15,3,2,9,2,7
6.0,NAVI,45,3,5,1,11,6,4,14,2,18,0,16,0
7.0,VXD,44,11,3,11,4,2,4,12,5,17,3,4,8
8.0,69IQ,43,7,8,5,6,8,2,3,5,16,0,6,3
9.0,KNG,43,2,3,6,3,7,1,1,6,15,0,8,0
10.0,GMT,35,14,0,3,4,5,6,17,0,9,5,13,5
11.0,TREX,33,4,5,10,3,11,4,13,0,5,3,9,3
12.0,HRZN,28,10,5,9,0,4,4,9,0,8,3,14,2
13.0,SCTA,20,16,0,16,2,18,0,6,5,10,2,7,3
14.0,ACE,17,17,2,12,2,14,0,8,0,11,5,17,3
15.0,UND,15,19,0,19,0,16,6,11,3,7,1,12,0
16.0,HS,14,18,0,7,2,13,3,5,1,19,0,18,0
17.0,HKE,13,15,4,15,0,9,0,19,0,6,1,11,0
18.0,RAT,12,13,0,17,0,10,3,16,0,13,0,10,3
19.0,789,6,8,0,13,1,17,0,18,0,14,1,19,0
20.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
