C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SZ,60,17,2,1,8,4,6,16,1,1,10,11,3
2.0,69IQ,60,5,1,11,0,1,17,9,0,7,2,1,6
3.0,TTM,55,1,14,12,0,7,3,4,5,5,7,14,0
4.0,VXD,52,8,0,3,11,9,1,1,12,11,1,10,1
5.0,K1CK,49,19,0,6,3,14,0,14,10,9,7,2,13
6.0,IG,46,4,4,5,9,16,0,10,7,4,6,9,2
7.0,EMP,40,13,0,4,5,2,9,11,1,8,3,16,4
8.0,PLRS,40,7,3,2,8,17,0,3,9,16,0,15,0
9.0,GOD,37,3,8,10,0,10,3,17,0,2,6,19,0
10.0,OP,33,12,1,18,0,11,2,2,5,3,6,12,0
11.0,HS,28,6,5,17,3,18,0,15,1,10,2,4,6
12.0,TREX,27,2,6,7,0,6,0,7,2,17,0,13,0
13.0,RAT,25,11,3,8,1,3,3,8,0,12,0,8,3
14.0,SMS,24,10,0,15,0,5,3,6,1,6,1,6,3
15.0,UND,23,20,0,16,3,15,3,18,0,19,0,3,9
16.0,ATK,21,18,0,13,4,8,3,13,1,18,1,7,5
17.0,789,18,15,3,20,0,20,0,5,3,14,6,17,0
18.0,PXL,14,9,1,14,1,13,6,12,0,13,0,18,0
19.0,SOL,11,16,3,19,0,12,0,20,0,15,0,5,2
20.0,HKE,7,14,4,9,0,19,0,19,0,20,0,20,0
