B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,ALL,72,2,4,1,11,8,7,2,3,2,4,8,0
2.0,K1CK,58,7,2,2,13,2,8,8,4,17,0,5,4
3.0,RASC,55,6,6,19,0,4,5,13,2,1,5,1,4
4.0,ZETA,53,5,12,4,7,3,2,10,1,13,2,3,3
5.0,69IQ,53,4,7,13,1,1,9,9,2,3,6,13,0
6.0,GUILD,51,16,0,7,6,13,3,12,3,6,10,2,12
7.0,RBL,40,14,0,5,3,7,5,5,6,4,7,10,0
8.0,IG,37,8,5,3,0,11,0,1,8,10,0,18,0
9.0,FB,32,9,3,8,2,10,0,6,6,12,6,12,4
10.0,OG,30,15,0,6,2,6,0,4,4,18,0,4,7
11.0,UND,29,3,6,9,0,9,3,15,3,14,0,14,3
12.0,HS,27,19,0,15,4,12,5,3,3,5,1,16,1
13.0,TREX,24,1,4,12,0,17,2,17,0,8,0,7,0
14.0,789,22,11,1,18,1,18,1,7,4,11,2,6,5
15.0,NMS,18,13,2,17,0,5,2,16,2,7,1,11,2
16.0,RAT,16,12,1,16,1,14,0,14,0,9,4,9,3
17.0,1872,14,10,0,10,3,16,0,18,3,15,3,19,0
18.0,VXD,13,17,1,11,1,19,0,11,4,16,0,15,4
19.0,HKE,6,18,1,14,0,15,2,19,0,19,0,17,1
20.0,MAGI,0,0,0,0,0,0,0,0,0,0,0,0,0
