A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,K1CK,77,3,15,17,0,3,7,2,13,2,8,16,2
2.0,ACE,63,1,10,3,4,5,8,6,2,8,1,4,5
3.0,KNG,58,4,0,2,9,9,4,1,7,6,3,5,0
4.0,MUT,55,5,8,16,2,15,0,7,10,19,0,2,18
5.0,TREX,47,8,1,1,14,6,0,3,3,18,0,7,2
6.0,GMT,44,17,0,4,6,18,2,12,0,1,13,8,3
7.0,NAVI,39,9,3,19,0,2,8,4,8,10,0,15,1
8.0,69IQ,37,16,0,6,2,1,9,9,0,5,4,13,0
9.0,UND,36,14,0,12,3,8,4,17,0,17,3,1,10
10.0,IG,27,7,3,8,2,10,0,10,6,7,2,14,1
11.0,HRZN,26,6,3,14,1,12,3,15,0,11,1,3,4
12.0,SQG,23,12,2,13,1,14,3,16,0,3,7,18,0
13.0,VXD,22,13,0,5,1,17,0,11,2,4,2,6,3
14.0,HKE,20,19,0,9,1,4,7,13,0,12,0,10,1
15.0,FORG,19,15,1,7,1,7,1,14,0,9,4,17,2
16.0,RAT,18,2,1,10,1,11,0,19,0,13,3,19,0
17.0,789,16,10,3,11,6,16,0,18,0,16,3,11,0
18.0,HS,12,11,2,18,0,13,0,8,4,14,0,12,0
19.0,SCTA,12,18,0,15,0,19,0,5,1,15,0,9,3
20.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
