B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,PLRS,77,1,15,18,3,1,15,13,0,4,6,6,5
2.0,EMP,69,12,0,1,12,5,3,4,2,10,5,1,11
3.0,NMS,51,20,0,3,7,13,1,1,17,11,2,11,2
4.0,OG,45,17,0,5,2,2,6,12,0,1,8,7,0
5.0,RASC,42,10,0,13,1,4,5,14,3,9,2,2,11
6.0,FB,42,3,3,20,0,8,6,16,0,3,10,3,0
7.0,SZ,41,8,2,9,4,3,5,2,7,12,0,8,0
8.0,GUILD,38,9,1,6,5,12,2,3,10,8,4,12,0
9.0,ZETA,35,7,11,11,3,14,0,6,3,13,1,10,6
10.0,MAGI,32,2,7,15,2,19,3,8,1,7,4,18,0
11.0,ALL,28,18,0,19,0,16,0,11,0,2,9,5,5
12.0,PXL,27,15,5,16,0,10,3,10,0,6,2,9,7
13.0,1872,27,14,1,7,2,11,2,9,5,17,0,4,5
14.0,SOL,24,19,0,2,3,7,2,19,0,5,0,14,2
15.0,TTM,23,13,3,17,0,6,5,7,7,18,0,15,0
16.0,RBL,19,6,3,4,3,15,0,20,0,15,1,13,1
17.0,SMS,12,4,2,10,3,20,0,18,0,16,0,17,0
18.0,GOD,11,16,0,14,1,9,2,5,0,19,1,20,0
19.0,ATK,10,11,1,12,0,17,0,15,4,14,1,19,0
20.0,OP,10,5,3,8,1,18,0,17,0,20,0,16,0
