A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,ALL,59,11,2,12,1,10,0,1,11,1,11,4,1
2.0,ACE,55,3,4,13,0,5,7,12,0,3,5,1,7
3.0,GMT,53,10,2,3,3,16,0,4,7,6,7,2,8
4.0,FORG,53,8,1,1,10,2,3,17,0,7,5,3,1
5.0,OG,53,7,3,6,6,1,6,2,1,4,2,11,2
6.0,GUILD,46,1,16,16,0,15,1,11,7,13,0,7,4
7.0,FB,44,5,6,8,5,6,7,14,1,5,1,6,7
8.0,RBL,42,14,0,2,7,7,3,9,3,2,3,13,1
9.0,ZETA,37,6,1,11,3,9,5,3,12,9,0,15,0
10.0,KNG,34,2,8,7,5,12,2,5,1,11,0,18,0
11.0,NMS,30,9,0,14,3,3,5,15,0,12,4,12,5
12.0,RASC,26,4,6,18,0,8,3,7,0,8,2,14,2
13.0,MUT,22,17,1,15,3,14,0,8,3,10,4,10,3
14.0,SCTA,22,15,0,5,2,13,2,10,0,14,1,5,4
15.0,HRZN,20,13,3,9,0,4,3,6,0,17,0,16,3
16.0,SQG,19,12,0,4,2,11,3,13,2,15,3,17,0
17.0,NAVI,11,18,0,10,3,18,0,18,0,18,1,8,3
18.0,1872,9,16,0,17,1,17,0,16,3,16,0,9,3
19.0,AP,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,MAGI,0,0,0,0,0,0,0,0,0,0,0,0,0
