,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,OnlyResenha,77,77
1,2.0,TK,50,50
2,3.0,Team Magestic,47,47
3,4.0,CIA,40,40
4,5.0,USB,37,3
5,6.0,UltiMaTuM,35,35
6,7.0,Slav Animals,33,33
7,8.0,SLU,23,23
8,9.0,Duty calls,16,16
9,10.0,Sobek,15,15
10,11.0,Lovely Venom,14,14
11,12.0,Bicentenario,8,8
12,13.0,SEM ORG,7,7
13,14.0,Chimera,6,6
14,15.0,War Brothers BR,6,6
15,16.0,LIONS,5,5
16,17.0,KDT - Amber,5,5
17,18.0,Live n Kill,3,3
18,19.0,Team Paragua,3,3
19,20.0,PVP,2,2
