,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,New Age,68,68
1,2.0,OF,60,60
2,3.0,AIM,58,58
3,4.0,BTH,34,34
4,5.0,TCS,26,26
5,6.0,OMEGA,23,23
6,7.0,Infinity Evo,18,18
7,8.0,PTX,17,17
8,9.0,LostSoulsDreamer,17,17
9,10.0,Taichi Horror,16,16
10,11.0,Svart Katze,16,16
11,12.0,NOKID E-SPORTS,15,15
12,13.0,ROCKETZ TEAM,14,14
13,14.0,Teletubbies,14,14
14,15.0,Vingadores Team,12,12
15,16.0,Os MIAU,11,11
16,17.0,KZN,9,9
17,18.0,Los perro waton,8,8
18,19.0,Yakuza,7,7
19,20.0,EZPIKERS,0,0
