,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Keep Moving Fwd,43,43
1,2.0,As Misera,43,43
2,3.0,BRZ,39,39
3,4.0,BHT,38,38
4,5.0,Natural Killer,38,38
5,6.0,Coquinha gelada,32,32
6,7.0,ZETTA,31,31
7,8.0,Blagueur,30,30
8,9.0,Pandora,27,27
9,10.0,Mystical,19,19
10,11.0,PiscoSour,17,17
11,12.0,2 And a Half Man,14,14
12,13.0,Sory,10,10
13,14.0,Fluxo Team,10,10
14,15.0,PoliShopu,9,9
15,16.0,Voy a Hacer,5,5
16,17.0,Tharsis,5,5
17,18.0,ICEBERGS,3,3
18,19.0,xKarma,1,1
19,20.0,EASY CLAP,0,0
