Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,BKMN,57,1,10,6,2,12,0,1,17
2.0,Joel Mark,49,3,8,1,11,11,3,10,5
3.0,GW,41,8,7,9,0,4,13,4,7
4.0,APXRS,38,2,4,3,10,16,0,5,4
5.0,Serpens,36,5,4,2,2,3,5,9,3
6.0,MTR,31,9,0,8,2,1,2,2,2
7.0,REAH,22,6,0,14,1,2,7,14,0
8.0,ScL,21,10,5,7,4,9,3,8,0
9.0,3DONE,17,4,5,13,3,15,0,13,1
10.0,WYV,17,15,1,4,1,6,5,15,0
11.0,Ace1,16,7,1,17,0,13,0,3,4
12.0,PiratesOfMirage,15,12,0,5,4,8,3,11,0
13.0,Scarlet Fox,11,16,0,11,4,10,0,6,1
14.0,ORB.G,11,13,0,10,2,5,1,16,1
15.0,RuinZ,10,17,0,15,0,7,3,7,0
16.0,BEXT,7,11,1,12,0,17,0,12,3
17.0,WOW.AXIS,2,14,0,16,0,14,0,17,0
