Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BW,71,3,7,3,7,14,4,14,4,1,21,18,0
2.0,O TAMA,53,11,0,4,11,12,3,4,2,2,8,8,6
3.0,SHEESH,51,9,3,1,16,16,6,19,0,10,1,5,5
4.0,NEAN,51,2,11,12,0,1,5,6,4,18,2,13,3
5.0,AM,46,14,6,6,1,19,0,8,1,7,2,1,15
6.0,BQB,42,10,3,19,0,7,4,5,3,3,3,3,6
7.0,SUP,41,1,5,9,3,4,2,3,3,13,1,17,0
8.0,Lonely Fans,39,8,1,20,0,10,3,1,10,11,2,4,1
9.0,CAS,37,17,3,16,2,2,9,10,2,4,4,15,0
10.0,Sussy Bakas,37,16,1,2,5,3,5,12,3,14,1,6,1
11.0,Tijuana Piranas,32,18,2,13,0,15,2,2,10,5,2,14,0
12.0,SMP,28,12,0,8,0,13,1,15,0,17,1,2,12
13.0,YouLikeThatMate?,25,6,2,11,0,9,3,7,2,12,6,9,0
14.0,Select,24,7,6,14,0,11,3,18,0,6,4,7,0
15.0,DUMPERS,21,4,2,5,8,17,0,16,0,9,0,19,0
16.0,2B1C,18,15,1,10,1,8,0,7,4,8,0,10,0
17.0,My Neck My Back,17,20,0,17,0,5,4,9,3,15,0,16,3
18.0,Veracity,13,5,0,7,3,6,0,20,0,19,0,20,0
19.0,TPM,9,19,0,15,1,18,0,13,2,20,0,12,3
20.0,AST,6,13,0,18,0,20,0,11,1,16,0,11,2
