Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
1.0,VOID,52,2,10,2,14,4,0,11,4,Lobby 1,Quarterfinals,,,,,Split_2
2.0,ShameAssist,45,5,3,1,12,11,2,8,9,Lobby 1,Quarterfinals,,,,,Split_2
3.0,WING,42,3,16,9,9,17,0,7,5,Lobby 1,Quarterfinals,,,,,Split_2
4.0,AE,42,4,7,6,0,1,12,16,3,Lobby 1,Quarterfinals,,,,,Split_2
5.0,CIMJ,40,6,4,7,6,15,1,1,10,Lobby 1,Quarterfinals,,,,,Split_2
6.0,TPM,35,7,4,16,0,3,10,2,2,Lobby 1,Quarterfinals,,,,,Split_2
7.0,Anarchy,28,1,5,8,1,10,3,9,1,Lobby 1,Quarterfinals,,,,,Split_2
8.0,TAG NA,24,12,0,15,0,7,9,3,3,Lobby 1,Quarterfinals,,,,,Split_2
9.0,BF,19,10,0,17,2,2,6,20,0,Lobby 1,Quarterfinals,,,,,Split_2
10.0,TRP,18,8,2,19,0,5,3,6,4,Lobby 1,Quarterfinals,,,,,Split_2
11.0,North,16,20,0,3,4,20,0,5,1,Lobby 1,Quarterfinals,,,,,Split_2
12.0,CPS,12,17,0,10,4,6,0,19,3,Lobby 1,Quarterfinals,,,,,Split_2
13.0,Xile,12,18,1,18,0,13,3,4,2,Lobby 1,Quarterfinals,,,,,Split_2
14.0,Revenge,10,16,0,12,1,12,6,17,1,Lobby 1,Quarterfinals,,,,,Split_2
15.0,ZERO,10,13,1,14,0,8,1,18,4,Lobby 1,Quarterfinals,,,,,Split_2
16.0,Floofgang,10,14,0,5,0,16,1,10,2,Lobby 1,Quarterfinals,,,,,Split_2
17.0,BMM,10,19,1,4,0,9,0,15,1,Lobby 1,Quarterfinals,,,,,Split_2
18.0,OnTheRocks,9,9,3,11,2,18,0,14,0,Lobby 1,Quarterfinals,,,,,Split_2
19.0,FIT,6,11,0,20,0,14,0,12,3,Lobby 1,Quarterfinals,,,,,Split_2
20.0,Devil's Rejects,5,15,0,13,1,19,0,13,1,Lobby 1,Quarterfinals,,,,,Split_2
1.0,ING,68,1,12,9,2,1,12,3,9,Lobby 2,Quarterfinals,,,,,Split_2
2.0,rats,60,7,13,7,15,5,10,7,9,Lobby 2,Quarterfinals,,,,,Split_2
3.0,LVI,45,2,8,10,3,9,3,2,9,Lobby 2,Quarterfinals,,,,,Split_2
4.0,AST,37,17,3,1,17,20,0,16,5,Lobby 2,Quarterfinals,,,,,Split_2
5.0,trippin,33,3,5,19,0,2,12,17,0,Lobby 2,Quarterfinals,,,,,Split_2
6.0,UORG,30,11,3,14,3,16,0,1,10,Lobby 2,Quarterfinals,,,,,Split_2
7.0,HC,26,9,0,2,7,4,1,9,0,Lobby 2,Quarterfinals,,,,,Split_2
8.0,SDO,23,8,3,6,1,3,6,12,0,Lobby 2,Quarterfinals,,,,,Split_2
9.0,RAWR,19,16,0,4,0,11,2,4,6,Lobby 2,Quarterfinals,,,,,Split_2
10.0,ChadP,19,5,1,3,4,13,0,8,0,Lobby 2,Quarterfinals,,,,,Split_2
11.0,ABW,18,14,0,8,1,6,6,5,1,Lobby 2,Quarterfinals,,,,,Split_2
12.0,ZooWeeMama,16,4,5,15,3,17,0,10,0,Lobby 2,Quarterfinals,,,,,Split_2
13.0,Prodigy,11,15,0,5,0,7,2,15,0,Lobby 2,Quarterfinals,,,,,Split_2
14.0,UNDD,9,10,1,11,0,14,0,6,1,Lobby 2,Quarterfinals,,,,,Split_2
15.0,Landry,8,6,1,16,0,10,0,11,1,Lobby 2,Quarterfinals,,,,,Split_2
16.0,TMW,6,20,0,20,0,15,2,18,3,Lobby 2,Quarterfinals,,,,,Split_2
17.0,Revised,4,18,0,18,0,19,0,13,3,Lobby 2,Quarterfinals,,,,,Split_2
18.0,JustSomeNewGuys,4,13,0,12,1,12,0,19,0,Lobby 2,Quarterfinals,,,,,Split_2
19.0,Synergy,3,12,0,13,1,18,0,20,0,Lobby 2,Quarterfinals,,,,,Split_2
20.0,Vulpes,3,19,0,17,0,8,0,14,0,Lobby 2,Quarterfinals,,,,,Split_2
1.0,HVND,91,4,5,1,9,1,22,2,17,Lobby 3,Quarterfinals,,,,,Split_2
2.0,CONT,65,2,6,3,14,4,3,1,9,Lobby 3,Quarterfinals,,,,,Split_2
3.0,CCE UCX,40,1,14,4,6,19,3,20,0,Lobby 3,Quarterfinals,,,,,Split_2
4.0,MM,32,20,0,6,6,2,10,13,3,Lobby 3,Quarterfinals,,,,,Split_2
5.0,EX,25,3,2,9,0,5,3,8,5,Lobby 3,Quarterfinals,,,,,Split_2
6.0,OYO,21,13,4,18,0,15,1,3,7,Lobby 3,Quarterfinals,,,,,Split_2
7.0,ZLB,20,5,4,5,5,9,0,15,0,Lobby 3,Quarterfinals,,,,,Split_2
8.0,CDE,17,17,0,2,6,17,0,16,2,Lobby 3,Quarterfinals,,,,,Split_2
9.0,ill,16,11,4,7,0,10,1,6,2,Lobby 3,Quarterfinals,,,,,Split_2
10.0,RLP,16,7,1,10,0,3,3,17,0,Lobby 3,Quarterfinals,,,,,Split_2
11.0,CAA,15,8,5,19,0,20,0,4,3,Lobby 3,Quarterfinals,,,,,Split_2
12.0,Hotdoggers,15,10,2,16,0,6,0,5,4,Lobby 3,Quarterfinals,,,,,Split_2
13.0,cleevlund roxs,12,6,3,12,0,12,0,9,2,Lobby 3,Quarterfinals,,,,,Split_2
14.0,trash,10,12,0,11,4,11,2,12,0,Lobby 3,Quarterfinals,,,,,Split_2
15.0,Them Boiz,10,15,1,20,0,7,4,14,0,Lobby 3,Quarterfinals,,,,,Split_2
16.0,Digitized Ent.,9,9,1,15,4,18,0,19,1,Lobby 3,Quarterfinals,,,,,Split_2
17.0,Patrón,9,16,0,14,3,8,3,18,0,Lobby 3,Quarterfinals,,,,,Split_2
18.0,UNDOGS,9,19,0,13,0,16,0,7,5,Lobby 3,Quarterfinals,,,,,Split_2
19.0,4'10 410,8,14,2,8,1,14,0,11,0,Lobby 3,Quarterfinals,,,,,Split_2
20.0,Dumpster Demons,5,18,0,17,0,13,2,10,0,Lobby 3,Quarterfinals,,,,,Split_2
1.0,EQ,59,10,10,1,14,9,8,7,8,Lobby 4,Quarterfinals,,,,,Split_2
2.0,ASUR,59,3,2,3,3,1,12,3,9,Lobby 4,Quarterfinals,,,,,Split_2
3.0,SKSQ,54,1,15,17,0,10,5,1,8,Lobby 4,Quarterfinals,,,,,Split_2
4.0,RDM,38,2,3,12,3,2,5,5,4,Lobby 4,Quarterfinals,,,,,Split_2
5.0,Neko Arc,32,4,4,10,8,4,7,14,0,Lobby 4,Quarterfinals,,,,,Split_2
6.0,POSKITINO,32,15,0,11,3,3,3,2,8,Lobby 4,Quarterfinals,,,,,Split_2
7.0,Diamond Hands,22,13,0,2,10,11,1,17,0,Lobby 4,Quarterfinals,,,,,Split_2
8.0,Shadow Point,21,5,6,6,3,7,0,10,0,Lobby 4,Quarterfinals,,,,,Split_2
9.0,ABST,19,7,7,14,2,6,3,16,0,Lobby 4,Quarterfinals,,,,,Split_2
10.0,LNT,18,8,0,19,0,12,5,4,5,Lobby 4,Quarterfinals,,,,,Split_2
11.0,Nadez Nation,17,20,0,7,2,5,7,12,0,Lobby 4,Quarterfinals,,,,,Split_2
12.0,Lust GG,13,6,3,13,0,16,1,9,3,Lobby 4,Quarterfinals,,,,,Split_2
13.0,HaZarD,13,11,0,4,6,15,0,19,0,Lobby 4,Quarterfinals,,,,,Split_2
14.0,Inspired,13,16,0,5,0,13,0,8,6,Lobby 4,Quarterfinals,,,,,Split_2
15.0,FA,12,9,4,8,0,20,0,11,3,Lobby 4,Quarterfinals,,,,,Split_2
16.0,ABZ,9,12,1,15,0,18,0,6,3,Lobby 4,Quarterfinals,,,,,Split_2
17.0,GSG,5,17,1,20,0,8,1,13,0,Lobby 4,Quarterfinals,,,,,Split_2
18.0,850 Boys,4,18,0,9,0,14,0,15,0,Lobby 4,Quarterfinals,,,,,Split_2
19.0,APEX BOIZ,3,14,1,18,1,17,0,20,0,Lobby 4,Quarterfinals,,,,,Split_2
20.0,ARH,0,19,0,16,0,19,0,18,0,Lobby 4,Quarterfinals,,,,,Split_2
1.0,CIMJ,80,5,0,10,0,1,20,8,9,Lobby 1,Semifinals,2.0,3.0,1.0,7.0,Split_2
2.0,AE,53,9,8,9,3,3,4,3,1,Lobby 1,Semifinals,14.0,0.0,3.0,11.0,Split_2
3.0,TPM,52,3,4,8,0,18,0,1,9,Lobby 1,Semifinals,4.0,11.0,17.0,2.0,Split_2
4.0,WING,48,18,3,20,0,12,8,2,3,Lobby 1,Semifinals,1.0,12.0,19.0,0.0,Split_2
5.0,ING,39,14,1,4,8,19,1,13,5,Lobby 1,Semifinals,7.0,6.0,10.0,6.0,Split_2
6.0,SDO,39,2,3,13,0,4,5,15,0,Lobby 1,Semifinals,5.0,3.0,6.0,5.0,Split_2
7.0,AST,37,13,4,6,6,11,4,10,0,Lobby 1,Semifinals,10.0,2.0,2.0,3.0,Split_2
8.0,ChadP,33,11,3,17,2,6,4,5,6,Lobby 1,Semifinals,6.0,0.0,11.0,6.0,Split_2
9.0,HC,32,10,0,3,3,9,1,7,5,Lobby 1,Semifinals,12.0,2.0,4.0,1.0,Split_2
10.0,VOID,31,8,4,5,7,10,1,16,0,Lobby 1,Semifinals,9.0,9.0,18.0,0.0,Split_2
11.0,RAWR,31,1,15,19,0,16,1,12,1,Lobby 1,Semifinals,11.0,0.0,16.0,0.0,Split_2
12.0,Anarchy,30,15,5,2,6,20,0,11,2,Lobby 1,Semifinals,20.0,0.0,8.0,4.0,Split_2
13.0,TRP,29,19,0,7,4,2,5,20,0,Lobby 1,Semifinals,16.0,1.0,9.0,5.0,Split_2
14.0,rats,28,20,0,1,10,17,2,17,0,Lobby 1,Semifinals,19.0,0.0,13.0,3.0,Split_2
15.0,TAG NA,28,12,1,11,0,13,0,4,6,Lobby 1,Semifinals,3.0,5.0,15.0,0.0,Split_2
16.0,ShameAssist,19,4,3,16,1,7,1,9,3,Lobby 1,Semifinals,18.0,0.0,14.0,0.0,Split_2
17.0,BF,17,6,0,12,0,15,0,14,3,Lobby 1,Semifinals,17.0,0.0,7.0,5.0,Split_2
18.0,LVI,16,7,1,15,3,14,0,6,1,Lobby 1,Semifinals,8.0,0.0,12.0,0.0,Split_2
19.0,UORG,10,17,0,14,1,8,0,18,0,Lobby 1,Semifinals,15.0,1.0,5.0,0.0,Split_2
20.0,trippin,7,16,0,18,0,5,2,19,0,Lobby 1,Semifinals,13.0,0.0,20.0,0.0,Split_2
1.0,RDM,57,3,10,1,8,14,3,16,0,Lobby 2,Semifinals,13.0,9.0,13.0,5.0,Split_2
2.0,CCE UCX,57,1,10,13,3,7,0,12,5,Lobby 2,Semifinals,1.0,10.0,16.0,0.0,Split_2
3.0,HVND,56,10,6,9,3,19,0,11,6,Lobby 2,Semifinals,3.0,10.0,2.0,10.0,Split_2
4.0,CDE,56,12,0,3,8,2,4,7,3,Lobby 2,Semifinals,10.0,0.0,1.0,7.0,Split_2
5.0,ZLB,51,2,7,7,6,18,1,1,10,Lobby 2,Semifinals,20.0,0.0,6.0,0.0,Split_2
6.0,EQ,50,11,2,4,8,3,13,18,0,Lobby 2,Semifinals,4.0,7.0,10.0,0.0,Split_2
7.0,ABST,47,7,4,19,1,15,0,2,9,Lobby 2,Semifinals,2.0,5.0,7.0,3.0,Split_2
8.0,EX,44,14,3,2,6,16,0,3,6,Lobby 2,Semifinals,6.0,9.0,20.0,0.0,Split_2
9.0,Shadow Point,38,5,5,5,0,4,1,13,2,Lobby 2,Semifinals,5.0,3.0,4.0,4.0,Split_2
10.0,MM,31,13,2,20,0,12,3,10,0,Lobby 2,Semifinals,18.0,0.0,5.0,18.0,Split_2
11.0,ill,30,8,3,6,2,8,7,5,5,Lobby 2,Semifinals,16.0,0.0,14.0,1.0,Split_2
12.0,LNT,29,4,2,12,1,17,1,4,3,Lobby 2,Semifinals,8.0,0.0,3.0,2.0,Split_2
13.0,Neko Arc,28,15,0,11,3,1,9,20,0,Lobby 2,Semifinals,19.0,0.0,8.0,0.0,Split_2
14.0,POSKITINO,20,16,0,10,2,9,4,14,0,Lobby 2,Semifinals,11.0,3.0,9.0,3.0,Split_2
15.0,ASUR,19,20,0,8,0,6,6,8,5,Lobby 2,Semifinals,14.0,0.0,17.0,0.0,Split_2
16.0,SKSQ,19,6,2,18,2,10,2,19,0,Lobby 2,Semifinals,7.0,1.0,15.0,3.0,Split_2
17.0,CONT,13,18,0,17,1,5,2,15,0,Lobby 2,Semifinals,9.0,0.0,12.0,2.0,Split_2
18.0,RLP,10,9,1,14,0,13,2,9,0,Lobby 2,Semifinals,12.0,0.0,18.0,0.0,Split_2
19.0,Diamond Hands,7,17,0,16,0,20,0,6,3,Lobby 2,Semifinals,15.0,0.0,19.0,0.0,Split_2
20.0,OYO,4,19,0,15,0,11,0,17,0,Lobby 2,Semifinals,17.0,0.0,11.0,1.0,Split_2
1.0,RDM,75,4,11,5,4,16,0,5,6,Lobby 1,Finals,5.0,11.0,1.0,14.0,Split_2
2.0,ING,64,20,0,2,3,1,10,14,0,Lobby 1,Finals,3.0,5.0,2.0,8.0,Split_2
3.0,TPM,54,6,5,18,1,12,0,2,9,Lobby 1,Finals,1.0,14.0,17.0,0.0,Split_2
4.0,CDE,51,12,0,1,12,17,1,1,8,Lobby 1,Finals,19.0,0.0,7.0,2.0,Split_2
5.0,SDO,43,2,8,6,1,5,4,10,5,Lobby 1,Finals,4.0,0.0,10.0,0.0,Split_2
6.0,ChadP,40,1,13,12,0,14,0,8,3,Lobby 1,Finals,11.0,0.0,4.0,2.0,Split_2
7.0,MM,37,16,1,15,7,19,1,3,3,Lobby 1,Finals,12.0,8.0,9.0,6.0,Split_2
8.0,EX,37,9,4,14,2,9,1,17,1,Lobby 1,Finals,2.0,6.0,8.0,7.0,Split_2
9.0,EQ,30,14,0,3,4,8,3,4,6,Lobby 1,Finals,13.0,1.0,18.0,0.0,Split_2
10.0,WING,29,13,0,4,9,13,5,9,4,Lobby 1,Finals,18.0,1.0,14.0,0.0,Split_2
11.0,Shadow Point,28,3,4,8,3,4,2,7,0,Lobby 1,Finals,14.0,0.0,13.0,0.0,Split_2
12.0,ZLB,28,5,0,9,0,3,5,15,3,Lobby 1,Finals,10.0,1.0,6.0,0.0,Split_2
13.0,CIMJ,26,19,0,7,3,2,4,16,0,Lobby 1,Finals,6.0,4.0,19.0,0.0,Split_2
14.0,CCE UCX,25,8,3,17,3,20,0,13,3,Lobby 1,Finals,20.0,0.0,5.0,9.0,Split_2
15.0,AE,25,15,1,11,1,6,4,11,0,Lobby 1,Finals,8.0,0.0,3.0,4.0,Split_2
16.0,HC,21,10,5,19,0,7,3,6,1,Lobby 1,Finals,7.0,0.0,11.0,0.0,Split_2
17.0,ABST,19,11,1,10,1,11,10,19,1,Lobby 1,Finals,9.0,0.0,16.0,0.0,Split_2
18.0,RAWR,12,7,1,16,3,18,0,20,0,Lobby 1,Finals,17.0,5.0,20.0,0.0,Split_2
19.0,HVND,11,17,0,13,0,15,0,12,3,Lobby 1,Finals,15.0,0.0,12.0,3.0,Split_2
20.0,AST,7,18,0,20,0,10,4,18,0,Lobby 1,Finals,16.0,0.0,15.0,0.0,Split_2
1.0,RL,61,1,8,3,3,1,13,4,1,Lobby 1,Quarterfinals,,,,,Split_2
2.0,RDM,55,4,9,4,9,12,0,1,14,Lobby 1,Quarterfinals,,,,,Split_2
3.0,SHEESH,50,3,13,20,0,2,10,5,7,Lobby 1,Quarterfinals,,,,,Split_2
4.0,TRP,46,16,5,2,10,4,3,7,11,Lobby 1,Quarterfinals,,,,,Split_2
5.0,Revenge,40,11,2,1,9,11,0,2,6,Lobby 1,Quarterfinals,,,,,Split_2
6.0,MM,28,18,0,13,8,3,11,14,0,Lobby 1,Quarterfinals,,,,,Split_2
7.0,iRL,28,2,9,11,3,13,3,16,2,Lobby 1,Quarterfinals,,,,,Split_2
8.0,North,21,6,3,5,3,6,1,12,3,Lobby 1,Quarterfinals,,,,,Split_2
9.0,VHS,20,7,0,6,3,10,0,3,2,Lobby 1,Quarterfinals,,,,,Split_2
10.0,BBB,14,5,1,9,1,8,3,11,0,Lobby 1,Quarterfinals,,,,,Split_2
11.0,rats,12,17,6,7,3,17,0,19,0,Lobby 1,Quarterfinals,,,,,Split_2
12.0,EQ,12,15,0,19,0,5,7,20,0,Lobby 1,Quarterfinals,,,,,Split_2
13.0,HaZarD,11,10,0,16,0,9,1,6,3,Lobby 1,Quarterfinals,,,,,Split_2
14.0,CPS,10,14,0,14,0,16,2,8,4,Lobby 1,Quarterfinals,,,,,Split_2
15.0,RT,10,9,0,8,3,14,1,13,0,Lobby 1,Quarterfinals,,,,,Split_2
16.0,BF,8,8,1,15,0,15,3,18,0,Lobby 1,Quarterfinals,,,,,Split_2
17.0,MBS,6,12,1,10,0,20,0,10,0,Lobby 1,Quarterfinals,,,,,Split_2
18.0,SK-J31,5,19,0,18,0,7,2,17,0,Lobby 1,Quarterfinals,,,,,Split_2
19.0,ARH,4,20,0,12,0,18,0,9,1,Lobby 1,Quarterfinals,,,,,Split_2
20.0,LVI,3,13,1,17,0,19,0,15,0,Lobby 1,Quarterfinals,,,,,Split_2
1.0,VOID,55,9,4,2,6,1,12,4,5,Lobby 2,Quarterfinals,,,,,Split_2
2.0,UORG,51,14,0,1,13,3,7,14,10,Lobby 2,Quarterfinals,,,,,Split_2
3.0,FBOSS,50,3,3,4,6,19,1,1,16,Lobby 2,Quarterfinals,,,,,Split_2
4.0,GP,29,17,1,10,5,4,2,3,7,Lobby 2,Quarterfinals,,,,,Split_2
5.0,CDE,27,2,9,12,3,7,2,16,0,Lobby 2,Quarterfinals,,,,,Split_2
6.0,CIMJ,25,1,5,9,1,17,0,10,3,Lobby 2,Quarterfinals,,,,,Split_2
7.0,ShameAssist,24,16,0,13,0,6,7,2,4,Lobby 2,Quarterfinals,,,,,Split_2
8.0,OYO,24,10,3,8,1,2,6,13,0,Lobby 2,Quarterfinals,,,,,Split_2
9.0,ZERO,24,7,3,3,4,10,0,5,1,Lobby 2,Quarterfinals,,,,,Split_2
10.0,PÂTÉ,22,4,7,6,5,16,0,9,0,Lobby 2,Quarterfinals,,,,,Split_2
11.0,CCE UCX,21,5,5,5,4,9,1,11,0,Lobby 2,Quarterfinals,,,,,Split_2
12.0,TAG NA,13,6,8,16,0,13,1,18,0,Lobby 2,Quarterfinals,,,,,Split_2
13.0,Patrón,12,11,1,11,0,14,5,15,2,Lobby 2,Quarterfinals,,,,,Split_2
14.0,Hotdoggers,12,8,3,14,0,8,3,12,0,Lobby 2,Quarterfinals,,,,,Split_2
15.0,MIKE,11,13,0,7,3,15,3,19,0,Lobby 2,Quarterfinals,,,,,Split_2
16.0,BMM,9,12,1,15,0,11,0,8,3,Lobby 2,Quarterfinals,,,,,Split_2
17.0,NooB,8,18,0,17,0,5,1,6,0,Lobby 2,Quarterfinals,,,,,Split_2
18.0,FA,5,19,0,18,0,12,1,7,0,Lobby 2,Quarterfinals,,,,,Split_2
19.0,PRIMAL,1,15,0,19,0,18,0,17,0,Lobby 2,Quarterfinals,,,,,Split_2
20.0,SQUID,0,0,0,0,0,0,0,0,0,Lobby 2,Quarterfinals,,,,,Split_2
1.0,HVNDS,54,1,15,1,2,4,7,12,0,Lobby 3,Quarterfinals,,,,,Split_2
2.0,Devil's Rejects,49,13,3,2,8,8,1,1,13,Lobby 3,Quarterfinals,,,,,Split_2
3.0,WING,47,3,4,14,2,1,17,11,3,Lobby 3,Quarterfinals,,,,,Split_2
4.0,UNDOGS,39,11,1,6,9,7,3,2,10,Lobby 3,Quarterfinals,,,,,Split_2
5.0,HVND,36,10,2,3,15,14,4,10,3,Lobby 3,Quarterfinals,,,,,Split_2
6.0,CONT,36,7,4,10,2,2,9,5,3,Lobby 3,Quarterfinals,,,,,Split_2
7.0,EX,26,2,8,19,3,12,2,8,1,Lobby 3,Quarterfinals,,,,,Split_2
8.0,EXAgents,25,9,2,20,0,10,5,4,9,Lobby 3,Quarterfinals,,,,,Split_2
9.0,Yin & Yang,22,4,14,15,0,11,1,16,0,Lobby 3,Quarterfinals,,,,,Split_2
10.0,POSKITINO,17,5,2,7,2,18,0,7,3,Lobby 3,Quarterfinals,,,,,Split_2
11.0,Revised,16,6,3,11,1,15,1,9,4,Lobby 3,Quarterfinals,,,,,Split_2
12.0,MHG,14,14,0,12,0,17,3,3,2,Lobby 3,Quarterfinals,,,,,Split_2
13.0,CAA,12,19,0,8,6,19,0,6,1,Lobby 3,Quarterfinals,,,,,Split_2
14.0,CBM,11,18,0,13,1,9,3,14,3,Lobby 3,Quarterfinals,,,,,Split_2
15.0,SLOTH,11,12,0,4,1,6,0,13,0,Lobby 3,Quarterfinals,,,,,Split_2
16.0,HC,10,20,0,5,2,5,0,18,0,Lobby 3,Quarterfinals,,,,,Split_2
17.0,MXGamers,10,8,0,17,0,3,1,19,0,Lobby 3,Quarterfinals,,,,,Split_2
18.0,Underdogs,4,17,0,9,2,20,0,20,0,Lobby 3,Quarterfinals,,,,,Split_2
19.0,U-2,2,15,0,18,1,16,0,17,0,Lobby 3,Quarterfinals,,,,,Split_2
20.0,N U M,2,16,0,16,0,13,0,15,0,Lobby 3,Quarterfinals,,,,,Split_2
1.0,TPM,58,1,15,15,0,2,13,7,5,Lobby 4,Quarterfinals,,,,,Split_2
2.0,AST,54,11,1,13,0,1,13,1,14,Lobby 4,Quarterfinals,,,,,Split_2
3.0,ChadP,38,2,2,2,13,14,1,13,2,Lobby 4,Quarterfinals,,,,,Split_2
4.0,AE,34,4,3,7,5,5,12,15,1,Lobby 4,Quarterfinals,,,,,Split_2
5.0,Landry,32,3,5,16,4,3,5,14,3,Lobby 4,Quarterfinals,,,,,Split_2
6.0,ASUR,32,6,4,5,2,8,0,2,8,Lobby 4,Quarterfinals,,,,,Split_2
7.0,UNDD,32,10,5,1,7,4,1,19,0,Lobby 4,Quarterfinals,,,,,Split_2
8.0,SKSQ,24,5,5,9,5,13,0,6,4,Lobby 4,Quarterfinals,,,,,Split_2
9.0,DSR,20,13,1,3,8,15,0,9,0,Lobby 4,Quarterfinals,,,,,Split_2
10.0,GSG,16,7,6,11,0,20,0,10,4,Lobby 4,Quarterfinals,,,,,Split_2
