A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BRT,76,7,6,16,3,1,8,3,4,1,11,3,3
2.0,SNG,76,10,1,1,9,2,12,13,2,5,3,2,12
3.0,FNX,63,6,7,18,1,8,8,2,5,4,6,1,5
4.0,LNW,55,2,6,3,9,15,0,14,0,2,7,4,1
5.0,HRS,51,1,18,8,4,7,4,16,0,13,1,8,4
6.0,DC,39,5,0,4,3,10,4,4,11,8,3,19,0
7.0,CIA,38,20,0,5,7,3,9,5,4,19,1,9,0
8.0,BHT,37,12,0,15,2,4,2,1,13,11,0,20,0
9.0,KZN,32,14,1,2,4,20,0,9,0,3,3,7,2
10.0,FSN,28,19,0,10,0,5,5,8,3,12,1,6,7
11.0,ElemenT,26,13,0,12,0,6,3,20,0,15,3,5,10
12.0,PD,25,3,5,9,2,11,4,11,2,14,0,16,0
13.0,AIM,24,17,0,6,6,12,0,7,2,6,3,11,2
14.0,OF,16,8,0,7,1,14,0,12,0,7,3,12,1
15.0,As Misera,15,11,3,13,3,17,0,18,0,18,3,15,3
16.0,PTD,14,9,3,17,0,13,0,10,1,9,3,17,0
17.0,NG,14,4,1,11,1,16,0,15,3,16,0,14,1
18.0,PRDX,12,15,1,14,1,18,0,17,0,10,6,18,0
19.0,OMEGA,11,16,0,20,0,19,0,6,5,17,0,13,2
20.0,Duty calls,6,18,1,19,1,9,0,19,0,20,0,10,0
