C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,DFX,29,7,3,7,5,5,2,5,2,20,1,15,1,Round 1,,,9.0,,
,TC,27,4,6,17,1,3,3,20,0,17,0,14,4,Round 1,,,10.0,,
,DYN,22,5,2,14,0,10,0,6,1,5,5,16,0,Round 1,,,11.0,,
,MVP,21,16,3,16,0,13,3,12,6,19,3,11,3,Round 1,,,12.0,,
,DGL,20,3,7,12,0,18,0,17,1,12,0,7,0,Round 1,,,13.0,,
,Love Egirls,19,9,0,10,1,15,3,8,4,18,0,10,2,Round 1,,,14.0,,
,Slav Animals,19,10,5,8,2,16,0,10,2,8,1,13,0,Round 1,,,15.0,,
,No Org,19,19,4,18,0,17,0,2,3,13,2,19,0,Round 1,,,16.0,,
,SLU,14,13,0,11,2,12,0,19,0,11,3,9,3,Round 1,,,17.0,,
,SBK,10,14,0,15,0,20,0,15,3,9,2,17,0,Round 1,,,18.0,,
,Natural Killer,9,20,0,20,0,8,0,7,3,14,0,18,0,Round 1,,,19.0,,
,TK,5,15,0,19,0,19,0,13,1,16,1,12,0,Round 1,,,20.0,,
,SNG,114,6,8,2,16,4,8,7,5,1,17,1,16,Round 2,,,,1.0,
,PTD,47,12,2,5,3,6,1,1,12,9,3,13,3,Round 2,,,,2.0,
,FNX,45,1,13,8,5,19,3,16,2,10,6,18,0,Round 2,,,,3.0,
,KZN,44,11,4,1,5,17,0,13,3,2,3,5,2,Round 2,,,,4.0,
,HRS,40,14,2,6,11,3,12,15,1,15,0,11,0,Round 2,,,,5.0,
,As Misera,39,2,3,15,1,10,0,3,11,6,0,9,0,Round 2,,,,6.0,
,PD,37,5,4,7,0,7,2,2,3,7,0,6,3,Round 2,,,,7.0,
,BRT,36,19,2,9,3,1,8,20,1,4,1,16,2,Round 2,,,,8.0,
,DC,35,4,6,19,0,13,0,14,1,3,12,12,1,Round 2,,,,9.0,
,BHT,29,17,0,3,0,15,1,11,1,5,1,2,4,Round 2,,,,10.0,
,OMEGA,27,16,0,13,1,20,0,4,2,17,3,7,12,Round 2,,,,11.0,
,LNW,24,3,2,17,3,9,8,17,0,13,1,19,0,Round 2,,,,12.0,
,AIM,24,15,1,20,0,2,3,9,0,16,2,4,1,Round 2,,,,13.0,
,CIA,23,20,0,4,5,11,5,8,0,12,1,17,3,Round 2,,,,14.0,
