Standings,Team.1,Total
1.0,Slav Animals,54
2.0,As Misera,41
3.0,TK,41
4.0,ZETTA,35
5.0,USB,34
6.0,Blagueur,31
7.0,SLU,31
8.0,Coquinha gelada,28
9.0,CIA,25
10.0,Pandora,20
11.0,Duty calls,16
12.0,BRZ,15
13.0,Team Magestic,14
14.0,Sobek,13
15.0,UltiMaTuM,12
16.0,BHT,10
17.0,OnlyResenha,6
18.0,Mystical,6
19.0,Keep Moving Fwd,5
20.0,Natural Killer,0
