Standings,Team.1,Total
1.0,AIM,55
2.0,OF,51
3.0,ElemenT,42
4.0,TCS,42
5.0,AGCL,35
6.0,sFx,27
7.0,SP,26
8.0,Love Egirls,26
9.0,BTH,26
10.0,New Age,24
11.0,PTX,23
12.0,NÃO sei,16
13.0,Infinity Evo,12
14.0,1crack2crack,11
15.0,OMEGA,6
16.0,LostSoulsDreamer,5
17.0,HU3HU3HU3BR,5
18.0,Inka Supremacy,4
19.0,ZISKA,4
20.0,Svart Katze,2
