,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,StandingsPlacements and killsPoints,,,,,,,,,,,,,,
1,Team,Total,"Round 1
Round 1

September 13, 2021 - 18:00 PDTWorld's Edge Absolute Monarchy CLX xD","Round 2
Round 2

September 13, 2021 - 18:30 PDTWorld's Edge Lazarus Neanderthals Noble","Round 3
Round 3

September 13, 2021 - 19:00 PDTWorld's Edge Dudes Night Out Estral Esports BenchWarmers","Round 4
Round 4

September 13, 2021 - 19:30 PDTWorld's Edge Noble Absolute Monarchy pub stars","Round 5
Round 5

September 13, 2021 - 20:00 PDTWorld's Edge Noble Lazarus pub stars","Round 6
Round 6

September 13, 2021 - 20:30 PDTWorld's Edge SMP Legacy MX Dudes Night Out",,,,,,,
2,P,K,P,K,P,K,P,K,P,K,P,K,,,
3,1.,DNO,75,92,55,200,00,112,1818,54,66,45,1313,37,33
4,2.,NBL,72,63,11,37,88,73,44,112,1010,112,99,82,11
5,3.,AM,60,112,1414,180,00,170,00,29,77,73,44,73,88
6,4.,pub stars,49,141,33,54,77,63,22,37,66,37,55,92,22
7,5.,BW,44,45,1111,170,22,37,55,73,66,92,22,160,11
8,6.,LZR,39,190,00,112,1313,121,00,151,33,29,00,170,00
9,7.,SMP,33,121,11,131,00,180,11,160,00,141,33,112,1313
10,8.,xD,33,37,00,73,00,111,1010,45,55,131,11,190,00
11,9.,NEAN,32,82,66,29,66,102,11,92,00,102,11,141,00
12,10.,LMX,31,160,11,92,22,131,00,82,00,54,55,29,55
13,11.,SUP,30,102,11,141,11,92,00,102,11,63,44,45,88
14,12.,YouLikeThatMate?,30,54,11,45,55,82,22,131,33,160,00,54,33
15,13.,EST,29,73,44,102,00,29,66,111,00,170,22,121,11
16,14.,CLX,27,29,55,160,00,151,00,190,00,82,66,151,33
17,15.,RT,21,170,22,121,11,45,11,63,55,190,00,111,22
18,16.,WASH,20,131,00,63,77,141,33,141,00,121,33,180,00
19,17.,BP,14,180,22,190,00,160,22,170,00,111,11,63,55
20,18.,Unlucky,14,151,00,82,22,54,22,180,00,151,11,131,00
21,19.,Aisle 5,13,111,00,111,00,190,00,121,33,180,11,102,44
22,20.,Unsigned Talent,6,200,11,151,44,200,00,200,00,200,00,200,00
