Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,GMT,72,1,14,6,2,10,2,8,6,2,4,2,7
2.0,SSG,61,5,3,1,12,14,0,11,2,1,9,9,3
3.0,ODK,51,8,6,2,8,12,9,2,3,14,0,6,0
4.0,K1CK,46,13,0,5,0,18,0,1,19,19,3,8,5
5.0,CLG,38,9,4,8,2,1,9,17,0,13,6,18,0
6.0,TTM,38,20,0,19,1,15,0,6,1,5,8,1,8
7.0,FCD,34,10,1,12,2,2,10,16,3,18,0,12,5
8.0,FL,34,6,7,14,2,8,3,20,0,20,0,3,9
9.0,V3,34,19,0,3,5,4,1,5,1,3,2,10,0
10.0,GW,33,2,6,11,1,19,0,3,2,6,0,5,0
11.0,IG,32,12,0,9,3,5,3,4,7,8,2,11,2
12.0,CR,31,3,6,16,0,16,2,10,1,7,1,4,4
13.0,RNT,31,4,4,15,6,6,6,15,0,9,3,20,0
14.0,XEN,24,15,0,7,1,17,1,7,4,4,6,17,0
15.0,G2,22,16,2,13,0,3,5,9,3,11,1,16,0
16.0,FNX,22,18,0,10,3,20,0,19,0,10,5,7,7
17.0,ACE,19,14,3,4,3,13,0,14,0,15,1,14,2
18.0,DTN,16,11,1,18,4,11,2,12,2,12,2,15,0
19.0,SNG,13,7,2,20,0,7,1,18,0,17,0,13,3
20.0,SZ,3,17,0,17,0,9,0,13,0,16,0,19,0
