Standings,Team.1,Total,Lobby
1.0,DNO,121,Lobby 1
2.0,ROT,35,Lobby 1
3.0,CLX,32,Lobby 1
4.0,OA,32,Lobby 1
5.0,RCO,28,Lobby 1
6.0,Hooiya,27,Lobby 1
7.0,Hardstuck10k,27,Lobby 1
8.0,Spooky Scary,24,Lobby 1
9.0,Insane Xboxsers,19,Lobby 1
10.0,BW,16,Lobby 1
11.0,TOAOS GG,15,Lobby 1
12.0,The Not Squad,13,Lobby 1
13.0,ING,12,Lobby 1
14.0,Controller Bots,9,Lobby 1
15.0,PWM,9,Lobby 1
16.0,Apex orphans,3,Lobby 1
17.0,TEAM Workaholics,3,Lobby 1
18.0,Nobody,1,Lobby 1
19.0,Bot Squad,1,Lobby 1
20.0,2Sticks1Musician,0,Lobby 1
1.0,My Neck My Back,62,Lobby 2
2.0,Dumpsters,52,Lobby 2
3.0,NBL,51,Lobby 2
4.0,SXG,42,Lobby 2
5.0,AGL,34,Lobby 2
6.0,SMP,32,Lobby 2
7.0,gibbyhands,30,Lobby 2
8.0,Titanes,23,Lobby 2
9.0,SQS Gaming,19,Lobby 2
10.0,The Semi Pros,16,Lobby 2
11.0,SBD,15,Lobby 2
12.0,AGLY,13,Lobby 2
13.0,Team Asesinos,12,Lobby 2
14.0,On They Ayy,8,Lobby 2
15.0,High Dexterity,7,Lobby 2
16.0,Team Sanitizer,5,Lobby 2
17.0,WeBall,5,Lobby 2
18.0,Hi,5,Lobby 2
19.0,We Lose,3,Lobby 2
20.0,Team Pepinito,1,Lobby 2
1.0,Never Lucky,54,Lobby 3
2.0,xD,43,Lobby 3
3.0,SDO,39,Lobby 3
4.0,Meow Syndicate,38,Lobby 3
5.0,AST,36,Lobby 3
6.0,Onyx,32,Lobby 3
7.0,Undisputed,31,Lobby 3
8.0,LVG,30,Lobby 3
9.0,LZR,29,Lobby 3
10.0,CC,29,Lobby 3
11.0,Siracha,22,Lobby 3
12.0,O TAMA,16,Lobby 3
13.0,SLS,16,Lobby 3
14.0,CVS,14,Lobby 3
15.0,BRONZELASTSEASON,5,Lobby 3
16.0,Inglorious,3,Lobby 3
17.0,Aim Assist GG,3,Lobby 3
18.0,Kraken,3,Lobby 3
19.0,IntentionalWhite,1,Lobby 3
20.0,Dawn of Legends,0,Lobby 3
1.0,YouLikeThatMate?,96,Lobby 4
2.0,LMX,57,Lobby 4
3.0,BP,35,Lobby 4
4.0,Nest,32,Lobby 4
5.0,oni,29,Lobby 4
6.0,JustSomeWarriors,24,Lobby 4
7.0,Dexterous,22,Lobby 4
8.0,Vandals,21,Lobby 4
9.0,Pickles,19,Lobby 4
10.0,BBJ,18,Lobby 4
11.0,CatDog,16,Lobby 4
12.0,"You stay, I go",14,Lobby 4
13.0,LuxuryRose,14,Lobby 4
14.0,ASE,12,Lobby 4
15.0,4Fun,9,Lobby 4
16.0,TRP,8,Lobby 4
17.0,TiTanes Cronos,8,Lobby 4
18.0,Passivaggressive,7,Lobby 4
19.0,TGJ,7,Lobby 4
20.0,zyn,4,Lobby 4
1.0,Sniper Meta,55,Lobby 5
2.0,ZERO,45,Lobby 5
3.0,MOAN,43,Lobby 5
4.0,EST,36,Lobby 5
