A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BRGR,92,1,8,5,0,1,12,5,0,2,6,1,13
2.0,O3,65,8,2,3,7,19,0,1,17,9,12,5,0
3.0,404,56,12,0,1,9,2,1,2,3,3,1,7,1
4.0,SNG,42,14,0,4,2,18,0,3,1,1,8,6,3
5.0,AMG TW,36,3,5,6,7,15,0,8,0,18,3,12,7
6.0,KAK,36,5,4,9,2,11,3,4,7,11,4,11,2
7.0,LU,36,10,3,11,1,3,7,9,5,15,0,8,5
8.0,DNZ,34,17,3,7,7,14,4,18,0,17,0,3,9
9.0,ATH,32,13,0,17,1,4,9,11,1,4,7,9,0
10.0,PK,30,4,7,2,2,16,0,19,3,14,2,15,0
11.0,EXO,30,7,5,8,5,13,4,7,2,6,0,18,2
12.0,TX,25,6,3,19,0,12,3,6,6,19,0,4,1
13.0,INF,25,18,0,10,0,9,2,12,1,7,1,2,4
14.0,RET,24,16,0,14,4,7,1,13,3,8,4,10,3
15.0,STK,23,2,3,12,1,8,4,16,1,12,0,13,0
16.0,Magic,19,15,7,18,1,17,0,14,0,10,4,16,3
17.0,StrawberryJam,17,11,0,15,0,6,4,15,4,20,0,14,2
18.0,MBTN,15,19,1,13,4,5,1,10,2,16,0,17,0
19.0,PWLS,12,9,2,16,1,20,0,20,0,5,3,19,0
20.0,DML,4,20,0,20,0,10,1,17,0,13,0,20,0
