B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RIG,75,8,4,2,13,13,5,3,8,1,7,7,4
2.0,MBF,53,19,0,10,5,3,6,11,5,3,6,3,7
3.0,WAT,52,12,3,5,4,11,1,4,3,8,3,1,13
4.0,NXL,47,11,4,9,6,18,0,1,14,19,3,12,4
5.0,BRP,47,4,3,4,0,2,8,19,0,4,8,6,1
6.0,Estrell,43,1,11,12,0,9,0,2,3,11,2,10,0
7.0,ITR,40,7,0,1,9,6,1,6,0,6,1,15,4
8.0,PG,38,15,0,7,5,5,7,8,2,5,3,5,3
9.0,M2M,36,3,10,6,3,19,0,9,2,7,5,19,1
10.0,RL.XV,32,2,9,17,0,12,0,20,0,12,1,4,6
11.0,WHIZ,32,17,0,15,0,7,1,7,2,10,6,2,5
12.0,MDY,31,9,3,11,2,4,5,10,5,17,0,8,4
13.0,STB,31,5,2,18,0,16,3,14,0,2,8,9,2
14.0,DF,29,13,2,16,0,1,10,12,2,15,0,16,0
15.0,PHN,23,10,2,13,0,17,3,5,8,9,1,17,0
16.0,MON,13,16,0,8,3,10,3,16,0,16,0,11,2
17.0,EVO BERZ,13,14,0,14,0,8,2,17,3,14,1,14,1
18.0,Xenomorph,13,20,0,3,4,15,0,15,0,18,0,20,0
19.0,Pavlova,9,6,5,20,0,14,0,18,0,20,0,18,0
20.0,GS,8,18,0,19,0,20,1,13,0,13,1,13,3
