C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,STB,32,20,1,5,6,18,0,13,3,2,8,17,0,Round 1,,,9.0,,
,ITR,30,10,1,4,5,20,0,4,2,17,1,4,4,Round 1,,,10.0,,
,MON,29,7,1,15,1,9,6,8,2,14,0,2,1,Round 1,,,11.0,,
,PG,28,11,0,12,2,19,0,3,11,11,1,11,3,Round 1,,,12.0,,
,WAT,26,12,4,17,0,10,0,12,3,8,3,3,3,Round 1,,,13.0,,
,M2M,25,5,11,14,1,16,1,15,1,9,2,14,0,Round 1,,,14.0,,
,EVO BERZ,25,15,1,9,4,17,0,2,5,12,1,15,0,Round 1,,,15.0,,
,Estrell,24,3,2,10,1,14,2,6,3,19,0,13,2,Round 1,,,16.0,,
,Pavlova,23,18,1,7,1,2,4,18,0,7,0,10,0,Round 1,,,17.0,,
,Xenomorph,16,16,0,19,1,15,0,7,1,4,4,16,1,Round 1,,,18.0,,
,NXL,14,9,0,20,0,12,1,10,4,20,1,12,2,Round 1,,,19.0,,
,PHN,12,14,2,16,0,11,8,19,0,16,0,20,0,Round 1,,,20.0,,
,BRGR,92,1,8,5,0,1,12,5,0,2,6,1,13,Round 2,,,,1.0,
,O3,65,8,2,3,7,19,0,1,17,9,12,5,0,Round 2,,,,2.0,
,404,56,12,0,1,9,2,1,2,3,3,1,7,1,Round 2,,,,3.0,
,SNG,42,14,0,4,2,18,0,3,1,1,8,6,3,Round 2,,,,4.0,
,AMG TW,36,3,5,6,7,15,0,8,0,18,3,12,7,Round 2,,,,5.0,
,KAK,36,5,4,9,2,11,3,4,7,11,4,11,2,Round 2,,,,6.0,
,LU,36,10,3,11,1,3,7,9,5,15,0,8,5,Round 2,,,,7.0,
,DNZ,34,17,3,7,7,14,4,18,0,17,0,3,9,Round 2,,,,8.0,
,ATH,32,13,0,17,1,4,9,11,1,4,7,9,0,Round 2,,,,9.0,
,PK,30,4,7,2,2,16,0,19,3,14,2,15,0,Round 2,,,,10.0,
,EXO,30,7,5,8,5,13,4,7,2,6,0,18,2,Round 2,,,,11.0,
,TX,25,6,3,19,0,12,3,6,6,19,0,4,1,Round 2,,,,12.0,
,INF,25,18,0,10,0,9,2,12,1,7,1,2,4,Round 2,,,,13.0,
,RET,24,16,0,14,4,7,1,13,3,8,4,10,3,Round 2,,,,14.0,
,STK,23,2,3,12,1,8,4,16,1,12,0,13,0,Round 2,,,,15.0,
,Magic,19,15,7,18,1,17,0,14,0,10,4,16,3,Round 2,,,,16.0,
,StrawberryJam,17,11,0,15,0,6,4,15,4,20,0,14,2,Round 2,,,,17.0,
,MBTN,15,19,1,13,4,5,1,10,2,16,0,17,0,Round 2,,,,18.0,
,PWLS,12,9,2,16,1,20,0,20,0,5,3,19,0,Round 2,,,,19.0,
,DML,4,20,0,20,0,10,1,17,0,13,0,20,0,Round 2,,,,20.0,
,EXO,67,2,14,9,1,4,9,13,5,20,0,1,9,Round 3,,,,,1.0
,TX,64,6,5,20,0,3,4,1,14,4,10,7,1,Round 3,,,,,2.0
,RIG,57,7,3,1,14,13,2,11,1,2,9,15,1,Round 3,,,,,3.0
,KAK,57,9,4,2,7,7,5,14,0,3,5,3,7,Round 3,,,,,4.0
,ATH,56,3,4,7,3,2,6,7,2,11,1,2,8,Round 3,,,,,5.0
,STK,50,1,7,3,3,10,2,6,4,19,0,5,6,Round 3,,,,,6.0
,DNZ,41,8,0,5,8,5,1,16,0,1,9,12,0,Round 3,,,,,7.0
,M2M,36,13,3,15,0,1,13,15,1,15,0,19,3,Round 3,,,,,8.0
,RET,36,5,6,11,0,15,0,9,7,9,3,4,5,Round 3,,,,,9.0
,PK,35,4,2,8,2,6,1,10,6,7,8,18,1,Round 3,,,,,10.0
,Estrell,30,10,2,4,7,19,0,3,1,13,0,10,3,Round 3,,,,,11.0
,GS,27,20,0,6,4,12,3,5,4,5,2,14,1,Round 3,,,,,12.0
,EVO BERZ,23,12,1,13,1,14,1,2,7,14,0,20,0,Round 3,,,,,13.0
,Pavlova,17,15,0,14,2,9,1,12,0,8,4,11,2,Round 3,,,,,14.0
,WAT,12,18,3,18,1,11,3,20,0,17,0,9,2,Round 3,,,,,15.0
,AMG TW,12,14,0,17,1,8,1,8,2,10,0,13,0,Round 3,,,,,16.0
,StrawberryJam,11,19,0,12,0,20,0,4,3,18,0,8,0,Round 3,,,,,17.0
,Xenomorph,11,17,0,10,2,17,0,19,0,6,2,17,2,Round 3,,,,,18.0
,NXL,10,16,0,19,0,18,2,17,0,16,1,6,4,Round 3,,,,,19.0
,PHN,3,11,0,16,0,16,1,18,0,12,0,16,0,Round 3,,,,,20.0
1.0,STB,77,3,10,19,1,7,7,12,1,2,8,1,18,Round 4,,,,,
2.0,ITR,52,5,3,6,2,4,6,4,6,3,1,7,7,Round 4,,,,,
3.0,LU,50,17,0,5,7,2,7,2,9,15,4,20,0,Round 4,,,,,
4.0,DF,48,1,19,20,1,18,0,19,2,14,0,3,6,Round 4,,,,,
5.0,BRP,48,4,3,1,8,6,2,13,0,4,5,8,2,Round 4,,,,,
6.0,BRGR,46,2,10,3,7,5,3,16,0,6,3,17,0,Round 4,,,,,
7.0,SNG,45,6,1,18,3,17,3,1,11,12,1,2,1,Round 4,,,,,
8.0,404,40,7,4,7,1,11,1,14,5,1,8,12,0,Round 4,,,,,
9.0,PG,39,12,1,2,6,13,2,9,3,5,6,10,2,Round 4,,,,,
10.0,MBTN,37,11,0,4,6,3,9,7,0,18,0,5,2,Round 4,,,,,
11.0,RL.XV,35,10,2,17,0,1,12,20,0,17,0,13,6,Round 4,,,,,
12.0,PWLS,27,9,1,13,0,20,0,6,6,8,3,4,4,Round 4,,,,,
13.0,MON,25,18,0,9,4,16,0,3,6,9,4,18,0,Round 4,,,,,
14.0,WGG,23,13,0,15,0,12,4,10,1,7,1,6,6,Round 4,,,,,
