StandingsPlacements and killsPoints,Team,Total,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge SPIRAL Team NoFear Gaming Oracle Esport","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge SPIRAL Team NoFear Gaming Oracle Esport","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge MajorPushers superdumplings SPIRAL Team","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge MajorPushers superdumplings SPIRAL Team","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge MajorPushers Hope Die Last UTFT","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge MajorPushers Hope Die Last UTFT","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge UTFT Australis FIGVAM"
Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P
1.0,MP,73,141,0,112,1414,112,2727,92
2.0,NoFear,45,29,1010,63,88,45,33,73
3.0,SPIRAL,42,112,1111,37,77,63,11,111
4.0,UTFT,39,131,11,73,44,37,22,112
5.0,Hope Die Last,35,54,55,131,0,29,44,45
6.0,FV,31,63,33,82,99,131,55,37
7.0,Proxima,27,82,66,54,33,54,55,121
8.0,Uchinix,22,121,1111,151,33,160,0,63
9.0,ORCL,21,37,55,180,0,73,11,102
10.0,AUS,16,111,0,190,0,200,0,29
11.0,ConsoleGamers,16,45,22,92,11,82,22,131
12.0,Kamisato,15,151,0,151,0,111,44,82
13.0,superdumplings,14,190,0,29,33,102,0,160
14.0,Black PENTA,12,73,11,102,33,121,11,141
15.0,PDPivas,12,102,0,141,22,170,0,54
16.0,ZEBI,10,92,0,45,11,151,0,151
17.0,Young Squad,8,170,0,121,0,141,0,170
18.0,Gang FDD,3,200,0,170,0,92,0,200
19.0,weebs,1,160,0,111,0,190,0,190
20.0,Minor Keepers,0,180,0,200,0,180,0,180
