Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,K1CK,70,1,7,1,12,5,7,3,9
2.0,KIMADAZ,43,12,1,12,0,3,10,1,11
3.0,Sxercise,37,17,0,6,1,1,6,2,6
4.0,Plombralicious,36,4,9,4,10,9,1,8,2
5.0,PRSTS,34,13,5,3,3,4,6,6,4
6.0,SCTA,31,14,4,2,6,6,1,4,2
7.0,SCBS,28,2,5,10,3,7,2,7,1
8.0,CHI,19,5,1,5,4,12,3,10,0
9.0,RAT,18,3,2,11,6,15,0,12,0
10.0,Controller City,18,10,0,9,0,2,5,17,0
11.0,Ragshack Bangers,16,8,6,8,0,11,0,13,4
12.0,Beams Only,16,9,3,7,0,16,0,5,4
13.0,Explosion,14,6,6,14,2,14,0,11,0
14.0,Nooobix,12,19,0,16,3,8,5,15,1
15.0,ThatsaYouProblem,11,15,3,15,1,17,0,9,3
16.0,SPL,11,7,2,17,0,10,1,14,2
17.0,GOD,10,11,1,13,3,13,0,16,3
18.0,Exiled,0,16,0,20,0,20,0,20,0
19.0,SUETA,0,18,0,18,0,20,0,20,0
20.0,fifth grader,0,20,0,20,0,20,0,20,0
