StandingsPlacements and killsPoints,Team,Total,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge DungeonMast33rs Top Dogs Reakless","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge DungeonMast33rs Top Dogs Reakless","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge WeLoveShotgun NotoriousFamily BORGIR","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge WeLoveShotgun NotoriousFamily BORGIR","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BORGIR 6 banok na troih WeLoveShotgun","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BORGIR 6 banok na troih WeLoveShotgun","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge BORGIR Top Dogs DungeonMast33rs"
Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P
1.0,DM,57,112,1616,63,33,54,55,37
2.0,BGR,51,180,0,37,1010,112,55,112
3.0,WLS,43,160,11,112,66,37,88,63
4.0,TD,40,29,22,131,0,45,77,29
5.0,NotoriousFamily,35,151,0,29,77,73,33,45
6.0,6bnt,32,63,44,54,0,29,44,54
7.0,TRIHARD,31,54,99,45,66,141,55,141
8.0,edit,22,102,99,111,33,121,11,102
9.0,Reakless,22,37,77,92,55,131,0,170
10.0,Weebs Out,18,82,11,141,0,190,44,82
11.0,Justthreeplayers,13,170,33,73,11,102,33,151
12.0,DASK,13,121,0,82,33,92,11,73
13.0,24K,12,73,22,102,0,160,0,111
14.0,iEnvy,10,131,0,160,0,82,66,131
15.0,CHOC,9,92,22,200,11,180,11,180
16.0,Team SiMo,9,45,11,180,0,111,0,92
17.0,VALUE TEAM,8,200,0,190,0,63,55,190
18.0,First in Battle,8,111,0,121,44,151,0,121
19.0,White Clover,4,141,22,151,0,170,0,200
20.0,BountyHunterGG,1,190,0,170,0,200,0,160
