Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,AIM,74,1,16,6,8,2,6,10,6,10,4,11,5,Lobby 1
2.0,Love Egirls,64,3,8,15,0,1,10,17,0,13,0,1,13,Lobby 1
3.0,BRZ,54,6,3,19,3,12,4,12,6,1,12,5,5,Lobby 1
4.0,BTH,54,12,2,1,7,18,0,1,13,6,0,14,3,Lobby 1
5.0,SLU,51,4,4,5,1,4,7,4,6,7,5,6,3,Lobby 1
6.0,KZN,47,9,0,2,10,3,0,3,4,5,2,8,0,Lobby 1
7.0,LIONS,45,5,6,13,3,16,0,6,0,2,7,3,5,Lobby 1
8.0,BHT,37,10,6,4,2,9,8,13,1,8,0,4,3,Lobby 1
9.0,Team seven,36,8,1,11,0,8,6,9,0,11,6,2,6,Lobby 1
10.0,SST,33,18,1,16,2,20,0,2,4,3,7,7,0,Lobby 1
11.0,ElemenT,25,11,2,3,9,17,2,7,1,18,0,17,0,Lobby 1
12.0,GDb,24,13,1,12,0,5,7,16,1,12,2,10,4,Lobby 1
13.0,Fluxo Team,23,2,1,7,3,14,0,11,1,9,0,13,1,Lobby 1
14.0,As Misera,21,20,0,20,0,10,3,8,5,4,2,9,0,Lobby 1
15.0,Sobek,15,16,3,14,0,7,1,5,3,16,0,19,0,Lobby 1
16.0,Seven,14,17,1,9,3,13,2,20,0,15,3,16,1,Lobby 1
17.0,PRDX,14,14,4,10,1,15,0,14,0,14,3,18,0,Lobby 1
18.0,PATETEX,10,19,0,8,0,6,1,15,2,19,0,15,0,Lobby 1
19.0,SP,9,7,2,17,0,11,0,19,3,20,0,20,0,Lobby 1
20.0,Legión de monos,3,15,0,18,0,19,0,18,0,17,0,12,1,Lobby 1
1.0,TK,69,19,3,2,6,5,5,1,7,2,11,11,2,Lobby 2
2.0,MVP,68,5,11,3,6,6,5,4,3,5,13,9,5,Lobby 2
3.0,MonsTer Team,54,2,15,7,4,15,1,11,7,6,2,6,5,Lobby 2
4.0,Slav Animals,47,15,0,5,4,4,5,3,6,7,0,3,5,Lobby 2
5.0,OF,44,8,3,8,1,11,1,7,4,4,7,1,3,Lobby 2
6.0,USB,41,9,3,19,1,2,4,2,5,13,0,5,3,Lobby 2
7.0,Natural Killer,40,10,4,20,0,3,11,16,6,18,0,4,5,Lobby 2
8.0,Duty calls,39,6,5,11,3,1,9,10,1,17,0,7,0,Lobby 2
9.0,ZETTA,38,4,0,17,0,7,3,17,0,1,8,8,5,Lobby 2
10.0,ROCKETZ TEAM,37,11,1,1,11,8,2,15,0,8,1,10,2,Lobby 2
11.0,PiscoSour,36,1,8,4,4,9,4,14,0,19,0,19,0,Lobby 2
12.0,ALFA WARRIORS,34,3,3,16,0,12,2,13,0,10,0,2,9,Lobby 2
13.0,UltiMaTuM,24,7,0,6,8,13,0,5,1,12,3,17,0,Lobby 2
14.0,Blagueur,21,17,0,18,3,18,0,20,0,3,9,12,1,Lobby 2
15.0,KARMA K41,18,20,0,12,4,17,0,6,6,11,0,16,3,Lobby 2
16.0,AGCL,17,12,1,10,0,10,0,8,6,16,0,13,2,Lobby 2
17.0,NO MERCY,10,13,0,13,0,16,3,18,0,9,2,15,0,Lobby 2
18.0,sFx,9,16,0,14,3,19,0,12,1,15,0,14,1,Lobby 2
19.0,Os MIAU,9,14,0,15,0,14,3,9,0,14,0,18,0,Lobby 2
20.0,Team wascka,2,18,0,9,0,20,0,19,0,20,0,20,0,Lobby 2
