Standings,Team.1,Total
1.0,Love Egirls,61
2.0,ZGravityEsports,52
3.0,KARMA K41,48
4.0,Seven,38
5.0,ElemenT,30
6.0,NÃO sei,26
7.0,HU3HU3HU3BR,25
8.0,Squad Sombra,20
9.0,OS KRACUDOS,17
10.0,KPS,10
11.0,MASE,9
12.0,Sons of Anarchy,7
13.0,X RyZe Gaming,4
