Standings,Team.1,Total
1.0,SP,62
2.0,AGCL,57
3.0,ZISKA,44
4.0,Inka Supremacy,41
5.0,sFx,23
6.0,PATETEX,22
7.0,BRATVA420Forever,22
8.0,1crack2crack,21
9.0,Spartan Warriors,16
10.0,SCAL,13
11.0,Dynanik Team 1,8
12.0,SEQL,5
