Standings,Team.1,Total
1.0,BTH,60
2.0,Teletubbies,56
3.0,OMEGA,45
4.0,NOKID E-SPORTS,31
5.0,ROCKETZ TEAM,30
6.0,Vingadores Team,22
7.0,Taichi Horror,20
8.0,Yakuza,19
9.0,PTX,19
10.0,Dark fears,17
11.0,EZPIKERS,14
12.0,SussyBaka,10
