Standings,Team.1,Total
1.0,BRZ,79
2.0,ZETTA,40
3.0,Blagueur,38
4.0,Coquinha gelada,37
5.0,Mystical,29
6.0,As Misera,23
7.0,Fluxo Team,22
8.0,Sory,22
9.0,xKarma,15
10.0,Tharsis,13
11.0,CHTM,11
12.0,LosÁlamosGaming,8
13.0,Mafia Legends,3
