Standings,Team.1,Total
1.0,OF,60
2.0,AIM,59
3.0,TCS,39
4.0,Infinity Evo,33
5.0,KZN,24
6.0,Os MIAU,22
7.0,Los perro waton,21
8.0,New Age,18
9.0,Svart Katze,17
10.0,LostSoulsDreamer,16
11.0,Legión de monos,12
12.0,TRAGIIC BR,11
13.0,AleatorioS Team,10
