Standings,Team.1,Total
1.0,On the Sticks,71
2.0,LittleMeow,59
3.0,NonetWork,51
4.0,LAG,37
5.0,Hardstuck D4,33
6.0,Boink Gang,29
7.0,God's Geek Gang,15
8.0,Team Lockdown,14
9.0,Astreaks Gaming,12
10.0,Triple Cobra,11
11.0,Wize,9
12.0,Team Bubbikins,8
13.0,EZ4CLAP,7
14.0,MamuMonster,4
