Standings,Team.1,Total
1.0,EVO BERZ,67
2.0,WGGxPK,59
3.0,HeadHunters,49
4.0,PG,37
5.0,DifferentBreed,23
6.0,StrawberryJam,20
7.0,RJININ,20
8.0,Antiaa,19
9.0,Nim Nim Esport,18
10.0,iON,16
11.0,Triple Threat OG,12
12.0,KARAVEL Aegis,9
13.0,NOPLAY2,8
14.0,Freedom,6
