Standings,Team.1,Total
1.0,GS,77
2.0,Dimple Esport,54
3.0,uwuXuwu,52
4.0,AFxRP Skyrise,34
5.0,Bad Genius,27
6.0,DESI,21
7.0,Joker,20
8.0,DDYM,13
9.0,YOII,12
10.0,Anthem Sygma,10
11.0,TEAM MIRACLE,9
12.0,WINGS,8
13.0,Rock & Morti,5
14.0,The Desi Boys,1
