Standings,Team.1,Total
1.0,WHIZ,74
2.0,April,53
3.0,RebellioN,32
4.0,BOG,29
5.0,madzJabol,28
6.0,EVO.Shadow,28
7.0,JOKO,27
8.0,RyZ HK,27
9.0,Team Psycho,15
10.0,hello nihao,15
11.0,Easy AF!,13
12.0,Madu Sunnah Ai,11
13.0,Atrox Rex PH,8
14.0,0 Brains,6
