Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,Black,57,13,1,2,16,2,4,2,4,16,0,6,1
2.0,APXRS,56,6,3,13,4,7,7,14,0,3,12,3,8
3.0,LAG,50,20,0,3,5,5,7,20,0,5,0,1,11
4.0,GW,48,5,3,10,5,3,14,10,8,17,3,20,0
5.0,APEX反省会,46,16,0,17,0,8,9,9,0,1,14,7,4
6.0,NrTv.Vs,42,2,5,8,0,4,3,6,3,8,3,4,2
7.0,ENG,41,9,2,19,0,1,4,5,3,2,3,11,1
8.0,Ace1,40,1,12,16,3,15,0,4,1,13,1,14,3
9.0,FA Club FUG,35,4,6,1,6,17,0,15,2,14,0,9,0
10.0,Fujii Gaming,32,3,6,12,0,19,0,8,5,4,2,10,2
11.0,ORB.G,32,11,1,14,0,11,2,1,11,6,0,18,0
12.0,PiratesOfMirage,31,17,1,4,5,9,2,3,5,12,3,19,0
13.0,IBSG,29,12,1,9,1,6,3,17,0,20,0,2,9
14.0,RuinZ,25,19,0,5,4,14,0,18,2,7,3,5,4
15.0,TW,24,7,2,18,0,10,0,7,5,10,3,17,4
16.0,C-VA KAG,19,14,3,6,3,16,0,11,6,19,0,12,1
17.0,BeastMode,18,15,1,11,4,20,0,12,0,9,4,15,3
18.0,ORC,13,8,7,7,0,18,0,19,0,18,0,13,0
19.0,TFC,13,10,2,15,0,12,1,16,0,15,3,8,0
20.0,ARZ,8,18,2,20,0,13,0,13,1,11,0,16,2
