Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,DUMPERS,96,9,2,1,5,1,9,3,6,1,11,2,9,Lobby 1
2.0,Sussy Bakas,54,1,7,4,6,19,0,5,2,5,7,7,4,Lobby 1
3.0,TPM,44,19,0,5,12,11,5,4,11,10,4,19,0,Lobby 1
4.0,RGP,44,7,7,14,0,9,0,1,11,6,4,15,0,Lobby 1
5.0,GNR,38,11,5,9,0,16,0,13,0,15,0,1,16,Lobby 1
6.0,RCO,38,6,0,13,0,2,15,9,2,12,0,10,3,Lobby 1
7.0,trash,37,4,5,20,0,10,3,17,0,4,10,4,2,Lobby 1
8.0,LM,36,12,0,6,7,4,13,16,3,18,0,14,3,Lobby 1
9.0,RAWR,36,3,5,2,6,3,0,12,0,20,0,12,0,Lobby 1
10.0,D A B,35,5,5,3,5,5,2,8,2,9,1,13,0,Lobby 1
11.0,Select,34,18,0,8,4,7,0,6,9,2,3,16,1,Lobby 1
12.0,LF,28,2,3,11,0,8,1,7,2,7,2,11,1,Lobby 1
13.0,AST,23,20,1,12,4,13,0,14,0,8,5,5,4,Lobby 1
14.0,LKM,23,8,1,18,0,15,1,10,0,11,1,3,7,Lobby 1
15.0,1MAG,20,15,0,19,0,18,0,2,6,16,0,8,2,Lobby 1
16.0,WASH,17,10,6,17,1,17,1,19,0,14,3,17,3,Lobby 1
17.0,MoJo,17,17,3,16,0,12,0,18,1,3,1,6,1,Lobby 1
18.0,Never Lucky,16,13,4,10,2,14,0,15,4,19,1,20,0,Lobby 1
19.0,Boston Monsters,15,16,3,7,4,20,0,20,0,17,3,9,0,Lobby 1
20.0,Meow Syndicate,14,14,1,15,0,6,6,11,0,13,0,18,0,Lobby 1
