Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,MDY,88,4,13,8,5,1,25,1,14
2.0,Estrell,53,1,11,3,11,11,1,3,3
3.0,WAT,40,5,2,7,4,3,6,6,11
4.0,Link E-sports,30,2,3,4,0,6,1,2,0
5.0,Astreaks Gaming,28,6,0,1,6,5,0,11,2
6.0,END,27,12,1,2,6,8,0,4,3
7.0,Soosmar slayer,20,3,4,5,0,9,0,10,1
8.0,Wkey,18,7,3,11,0,2,1,12,0
9.0,IFPD,12,8,0,6,2,10,0,7,0
10.0,Happy To Be Here,11,14,0,13,0,4,0,5,0
11.0,UNINUB,8,9,0,12,0,7,0,9,0
12.0,RebellioN,6,11,0,9,0,12,0,8,0
13.0,WuhuFlyer,6,10,0,10,0,13,0,13,0
14.0,off boys,1,13,0,20,0,20,0,20,0
