Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,April,55,5,9,3,7,1,15,12,0
2.0,Scythe,46,4,5,6,3,2,12,4,4
3.0,StrawberryJam,43,2,7,1,8,8,0,10,3
4.0,OGL,36,1,8,4,1,13,0,3,2
5.0,RJININ,34,10,2,2,7,3,1,6,3
6.0,MBTN,29,13,0,10,1,11,3,1,9
7.0,Y105,22,7,1,5,5,7,3,7,0
8.0,TEAM MIRACLE,21,12,0,7,0,4,1,2,2
9.0,Nitrogen Oxide,20,3,1,11,0,12,0,5,6
10.0,SkarptSinne,12,6,1,9,0,6,1,9,0
11.0,VENOM KNF,7,8,0,8,0,10,1,20,0
12.0,Ace Players,7,9,0,20,0,5,0,11,0
13.0,Informal Squad,6,11,0,12,0,9,0,8,0
14.0,hello nihao,0,20,0,20,0,20,0,20,0
