,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 18:00 ESTWorld's Edge 100 Thieves TSM Team Liquid","Round 1 Round 1 November 21, 2021 - 18:00 ESTWorld's Edge 100 Thieves TSM Team Liquid","Round 2 Round 2 November 21, 2021 - 18:35 ESTWorld's Edge Cloud9 Team Liquid XSET","Round 2 Round 2 November 21, 2021 - 18:35 ESTWorld's Edge Cloud9 Team Liquid XSET","Round 3 Round 3 November 21, 2021 - 19:10 ESTWorld's Edge Esports Arena Pittsburgh Knights Moanerz","Round 3 Round 3 November 21, 2021 - 19:10 ESTWorld's Edge Esports Arena Pittsburgh Knights Moanerz","Round 4 Round 4 November 21, 2021 - 19:45 ESTWorld's Edge G2 Esports Buff Pathfinder Esports Arena","Round 4 Round 4 November 21, 2021 - 19:45 ESTWorld's Edge G2 Esports Buff Pathfinder Esports Arena","Round 5 Round 5 November 21, 2021 - 20:20 ESTWorld's Edge Esports Arena TSM Buff Pathfinder","Round 5 Round 5 November 21, 2021 - 20:20 ESTWorld's Edge Esports Arena TSM Buff Pathfinder","Round 6 Round 6 November 21, 2021 - 20:55 ESTWorld's Edge BAD BOYS FURIA Esports Absolute Monarchy","Round 6 Round 6 November 21, 2021 - 20:55 ESTWorld's Edge BAD BOYS FURIA Esports Absolute Monarchy"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ESA,67,102,0,121,0,112,99,37,88,112,1515,170,11
1,2.0,TSM,62,29,1010,63,88,92,66,111,77,29,55,102,0
2,3.0,G2,47,92,66,170,0,111,0,112,1414,82,77,180,33
3,4.0,100T,46,112,1313,82,11,121,33,45,66,180,0,63,0
4,5.0,TL,44,37,88,29,66,82,44,63,0,141,0,73,11
5,6.0,XSET,41,45,33,37,66,45,33,141,11,63,55,92,0
6,7.0,BAD,40,63,0,45,55,102,11,190,0,92,0,112,1010
7,8.0,C9,36,111,33,112,77,170,0,92,33,151,0,82,55
8,9.0,BP,36,131,0,131,44,131,11,29,55,37,44,111,22
9,10.0,FUR,34,180,0,160,77,180,0,73,22,131,44,29,88
10,11.0,SSG,30,151,0,111,55,54,55,121,11,45,55,131,11
11,12.0,NEAN,27,141,11,151,0,73,66,131,22,54,11,121,66
12,13.0,CLT,27,73,33,54,11,141,0,82,0,170,0,45,88
13,14.0,PK,27,160,11,92,0,29,66,151,0,73,44,141,0
14,15.0,AM,26,54,33,73,22,190,0,102,11,121,0,37,33
15,16.0,E8,21,121,11,180,0,63,33,54,55,102,0,151,11
16,17.0,MOAN,13,190,0,141,0,37,11,180,0,111,22,160,11
17,18.0,CLX,11,170,0,102,33,151,55,170,0,160,0,190,0
18,19.0,CLG,9,82,0,190,0,160,0,160,11,190,0,54,22
19,20.0,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0
