,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 19, 2021 - 20:00 ESTWorld's Edge NRG Senior Service Complexity Gaming","Round 1 Round 1 November 19, 2021 - 20:00 ESTWorld's Edge NRG Senior Service Complexity Gaming","Round 2 Round 2 November 19, 2021 - 20:35 ESTWorld's Edge Sentinels Estral Esports Complexity Gaming","Round 2 Round 2 November 19, 2021 - 20:35 ESTWorld's Edge Sentinels Estral Esports Complexity Gaming","Round 3 Round 3 November 19, 2021 - 21:10 ESTWorld's Edge Sentinels Oxygen Esports Premier","Round 3 Round 3 November 19, 2021 - 21:10 ESTWorld's Edge Sentinels Oxygen Esports Premier","Round 4 Round 4 November 19, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Lazarus Estral Esports","Round 4 Round 4 November 19, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Lazarus Estral Esports","Round 5 Round 5 November 19, 2021 - 22:20 ESTWorld's Edge Premier Sentinels eRa Eternity","Round 5 Round 5 November 19, 2021 - 22:20 ESTWorld's Edge Premier Sentinels eRa Eternity","Round 6 Round 6 November 19, 2021 - 22:55 ESTWorld's Edge Torrent Oxygen Esports NRG","Round 6 Round 6 November 19, 2021 - 22:55 ESTWorld's Edge Torrent Oxygen Esports NRG"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SEN,87,63,77,112,1010,112,44,141,88,29,1414,82,55
1,2.0,COL,51,37,44,37,99,82,44,131,66,45,33,141,22
2,3.0,NRG,49,112,77,63,22,63,77,151,0,160,66,37,11
3,4.0,PGG,47,131,33,92,44,37,88,121,22,112,77,180,0
4,5.0,TOR,47,180,0,45,66,54,33,102,0,82,11,112,1212
5,6.0,EST,43,121,33,29,11,121,0,37,99,131,22,45,44
6,7.0,OXG,42,102,22,160,0,29,33,54,22,63,55,29,33
7,8.0,RNG,39,141,22,73,77,151,99,45,22,54,44,131,0
8,9.0,SNRS,37,29,1010,82,0,160,22,190,11,180,0,54,99
9,10.0,GHOST,28,170,0,111,0,73,33,112,66,151,0,92,0
10,11.0,LZR,27,73,33,151,0,111,11,29,44,102,0,102,11
11,12.0,LMX,24,82,33,131,22,92,55,92,33,190,0,63,11
12,13.0,UNL,23,45,44,180,0,131,11,111,22,121,55,160,33
13,14.0,NBL,23,92,11,170,0,45,33,82,33,92,22,121,22
14,15.0,DY,20,151,0,102,11,141,11,63,0,73,0,73,55
15,16.0,ERA,16,111,11,141,0,102,0,160,0,37,44,170,0
16,17.0,RT,15,160,0,54,22,190,0,73,66,170,0,190,0
17,18.0,BBG,13,54,44,190,0,170,0,170,0,141,0,151,33
18,19.0,SXG,12,190,0,121,66,180,0,180,11,111,22,111,0
19,20.0,BW,0,0,0,0,0,0,0,0,0,0,0,0,0
