,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Complexity Gaming Team Liquid Cloud9","Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Complexity Gaming Team Liquid Cloud9","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge Dubblyew Oxygen Esports Sentinels","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge Dubblyew Oxygen Esports Sentinels","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge Pittsburgh Knights Dubblyew Complexity Gaming","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge Pittsburgh Knights Dubblyew Complexity Gaming","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge Dubblyew TSM CLX","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge Dubblyew TSM CLX","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge Buff Pathfinder CLX Charlotte Phoenix","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge Buff Pathfinder CLX Charlotte Phoenix","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge Sentinels Team Liquid TSM","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge Sentinels Team Liquid TSM"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DY,66,14,3,1,11,2,3,1,14,11,0,17,0
1,2.0,SEN,61,13,1,3,3,4,8,15,3,18,2,1,18
2,3.0,TSM,47,15,0,4,4,13,3,2,5,7,7,3,2
3,4.0,CLX,46,4,3,6,2,8,0,3,3,2,10,9,0
4,5.0,BP,45,10,3,11,0,14,0,6,9,1,14,20,0
5,6.0,TL,43,2,5,12,1,15,1,14,0,4,4,2,6
6,7.0,C9,41,3,6,18,1,5,7,5,5,6,4,18,0
7,8.0,COL,39,1,7,14,1,3,6,10,0,16,1,12,1
8,9.0,PK,34,20,0,19,3,1,15,9,0,17,0,10,0
9,10.0,OXG,32,6,1,2,5,7,1,7,2,9,2,13,0
10,11.0,TOR,30,11,4,9,6,12,0,4,5,19,3,7,0
11,12.0,BBG,26,9,1,10,6,16,1,11,2,12,2,6,5
12,13.0,CLT,26,12,5,16,2,10,1,12,2,3,3,14,1
13,14.0,RT,26,5,4,17,0,6,5,8,0,10,3,8,1
14,15.0,EST,23,18,1,5,4,18,0,19,0,5,0,4,5
15,16.0,MOAN,19,7,3,15,1,20,0,18,0,8,2,15,6
16,17.0,E8,17,8,3,8,4,9,3,16,0,15,0,16,0
17,18.0,SXG,14,17,0,20,0,11,1,13,6,14,0,11,3
18,19.0,SNRS,14,16,0,13,1,19,0,17,0,13,0,5,7
19,20.0,AM,8,19,0,7,3,17,2,20,0,20,0,19,0
