,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 16:00 EDTWorld's Edge NRG Ghost Gaming Lazarus","Round 1 Round 1 October 30, 2021 - 16:00 EDTWorld's Edge NRG Ghost Gaming Lazarus","Round 2 Round 2 October 30, 2021 - 16:35 EDTWorld's Edge NRG Counter Logic Gaming G2 Esports","Round 2 Round 2 October 30, 2021 - 16:35 EDTWorld's Edge NRG Counter Logic Gaming G2 Esports","Round 3 Round 3 October 30, 2021 - 17:10 EDTWorld's Edge FURIA Esports Esports Arena Unlucky","Round 3 Round 3 October 30, 2021 - 17:10 EDTWorld's Edge FURIA Esports Esports Arena Unlucky","Round 4 Round 4 October 30, 2021 - 17:45 EDTWorld's Edge XSET Spacestation Gaming G2 Esports","Round 4 Round 4 October 30, 2021 - 17:45 EDTWorld's Edge XSET Spacestation Gaming G2 Esports","Round 5 Round 5 October 30, 2021 - 18:20 EDTWorld's Edge Ghost Gaming Spacestation Gaming BAD BOYS","Round 5 Round 5 October 30, 2021 - 18:20 EDTWorld's Edge Ghost Gaming Spacestation Gaming BAD BOYS","Round 6 Round 6 October 30, 2021 - 18:55 EDTWorld's Edge Neanderthals Noble Lazarus","Round 6 Round 6 October 30, 2021 - 18:55 EDTWorld's Edge Neanderthals Noble Lazarus"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,NRG,63,112,1515,112,77,92,22,131,77,102,0,190,33
1,2.0,G2,60,92,22,37,1313,111,66,37,88,121,22,45,66
2,3.0,ESA,48,82,66,102,66,29,1010,82,33,82,33,73,0
3,4.0,SSG,47,54,22,54,11,45,33,29,55,29,55,200,0
4,5.0,GHOST,44,29,88,160,0,200,0,190,0,112,1414,151,0
5,6.0,UNL,39,73,11,92,33,37,33,160,33,54,66,111,66
6,7.0,NEAN,38,63,11,141,0,82,0,73,77,160,0,112,99
7,8.0,PGG,37,45,22,82,33,54,33,180,11,45,44,54,44
8,9.0,NBL,36,151,11,45,44,141,0,121,33,131,33,29,77
9,10.0,LZR,36,37,88,170,0,151,33,63,0,92,44,37,11
10,11.0,RNG,34,111,66,151,0,63,33,92,11,73,66,63,55
11,12.0,FUR,33,180,0,180,0,112,1414,141,0,200,0,102,44
12,13.0,XSET,29,190,0,121,11,121,0,112,1010,151,0,82,11
13,14.0,SHEESH,29,131,0,73,1111,73,44,111,0,141,11,141,33
14,15.0,CLG,24,121,11,29,99,160,0,170,11,111,0,170,22
15,16.0,100T,20,160,0,200,0,102,22,45,22,63,55,180,11
16,17.0,BAD,16,141,33,131,0,170,0,151,0,37,33,160,0
17,18.0,BW,13,170,0,111,11,190,33,102,33,180,0,121,22
18,19.0,ERA,11,102,11,190,0,131,0,54,0,170,0,92,11
19,20.0,LMX,4,200,0,63,0,180,0,200,0,190,0,131,0
