,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 18:00 ESTWorld's Edge Esports Arena 100 Thieves Estral Esports","Round 1 Round 1 December 4, 2021 - 18:00 ESTWorld's Edge Esports Arena 100 Thieves Estral Esports","Round 2 Round 2 December 4, 2021 - 18:35 ESTWorld's Edge G2 Esports Oxygen Esports Torrent","Round 2 Round 2 December 4, 2021 - 18:35 ESTWorld's Edge G2 Esports Oxygen Esports Torrent","Round 3 Round 3 December 4, 2021 - 19:10 ESTWorld's Edge G2 Esports Complexity Gaming Sentinels","Round 3 Round 3 December 4, 2021 - 19:10 ESTWorld's Edge G2 Esports Complexity Gaming Sentinels","Round 4 Round 4 December 4, 2021 - 19:45 ESTWorld's Edge Torrent Dubblyew FURIA Esports","Round 4 Round 4 December 4, 2021 - 19:45 ESTWorld's Edge Torrent Dubblyew FURIA Esports","Round 5 Round 5 December 4, 2021 - 20:20 ESTWorld's Edge G2 Esports Oxygen Esports Neanderthals","Round 5 Round 5 December 4, 2021 - 20:20 ESTWorld's Edge G2 Esports Oxygen Esports Neanderthals","Round 6 Round 6 December 4, 2021 - 20:55 ESTWorld's Edge Spacestation Gaming Oxygen Esports Torrent","Round 6 Round 6 December 4, 2021 - 20:55 ESTWorld's Edge Spacestation Gaming Oxygen Esports Torrent"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,G2,65,190,0,112,77,112,66,170,0,112,1414,111,11
1,2.0,OXG,59,45,66,29,44,111,0,102,11,29,66,29,77
2,3.0,TOR,53,170,0,37,66,45,33,112,55,151,0,37,77
3,4.0,FUR,46,102,0,151,33,170,22,37,1414,92,55,45,55
4,5.0,SEN,46,63,33,45,1010,37,66,151,11,131,44,131,44
5,6.0,100T,45,29,77,102,66,82,66,45,22,73,22,151,0
6,7.0,SSG,45,73,0,63,22,92,11,190,0,45,55,112,1212
7,8.0,ESA,37,112,77,82,44,54,11,54,11,170,22,160,0
8,9.0,XSET,36,54,88,141,11,63,77,160,22,54,11,92,33
9,10.0,COL,34,82,33,73,11,29,66,63,33,121,0,82,11
10,11.0,DY,33,180,0,111,33,141,0,29,1111,111,0,54,33
11,12.0,EST,32,37,88,54,11,121,0,111,55,190,0,63,22
12,13.0,RT,22,131,33,170,11,151,0,82,33,82,66,121,22
13,14.0,SNRS,21,92,22,190,0,131,88,141,0,102,0,102,33
14,15.0,NEAN,18,121,11,160,0,160,0,73,22,37,33,141,0
15,16.0,BAD,17,160,0,131,0,102,44,121,11,63,0,73,22
16,17.0,SXG,16,111,33,180,22,73,11,131,0,141,44,170,0
17,18.0,CLG,9,141,22,121,0,190,0,92,33,180,0,180,0
18,19.0,BBG,7,151,0,92,0,180,0,180,0,160,33,190,11
19,20.0,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0
