,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 18:00 ESTWorld's Edge Esports Arena 100 Thieves Estral Esports","Round 1 Round 1 December 4, 2021 - 18:00 ESTWorld's Edge Esports Arena 100 Thieves Estral Esports","Round 2 Round 2 December 4, 2021 - 18:35 ESTWorld's Edge G2 Esports Oxygen Esports Torrent","Round 2 Round 2 December 4, 2021 - 18:35 ESTWorld's Edge G2 Esports Oxygen Esports Torrent","Round 3 Round 3 December 4, 2021 - 19:10 ESTWorld's Edge G2 Esports Complexity Gaming Sentinels","Round 3 Round 3 December 4, 2021 - 19:10 ESTWorld's Edge G2 Esports Complexity Gaming Sentinels","Round 4 Round 4 December 4, 2021 - 19:45 ESTWorld's Edge Torrent Dubblyew FURIA Esports","Round 4 Round 4 December 4, 2021 - 19:45 ESTWorld's Edge Torrent Dubblyew FURIA Esports","Round 5 Round 5 December 4, 2021 - 20:20 ESTWorld's Edge G2 Esports Oxygen Esports Neanderthals","Round 5 Round 5 December 4, 2021 - 20:20 ESTWorld's Edge G2 Esports Oxygen Esports Neanderthals","Round 6 Round 6 December 4, 2021 - 20:55 ESTWorld's Edge Spacestation Gaming Oxygen Esports Torrent","Round 6 Round 6 December 4, 2021 - 20:55 ESTWorld's Edge Spacestation Gaming Oxygen Esports Torrent"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,G2,65,19,0,1,7,1,6,17,0,1,14,11,1
1,2.0,OXG,59,4,6,2,4,11,0,10,1,2,6,2,7
2,3.0,TOR,53,17,0,3,6,4,3,1,5,15,0,3,7
3,4.0,FUR,46,10,0,15,3,17,2,3,14,9,5,4,5
4,5.0,SEN,46,6,3,4,10,3,6,15,1,13,4,13,4
5,6.0,100T,45,2,7,10,6,8,6,4,2,7,2,15,0
6,7.0,SSG,45,7,0,6,2,9,1,19,0,4,5,1,12
7,8.0,ESA,37,1,7,8,4,5,1,5,1,17,2,16,0
8,9.0,XSET,36,5,8,14,1,6,7,16,2,5,1,9,3
9,10.0,COL,34,8,3,7,1,2,6,6,3,12,0,8,1
10,11.0,DY,33,18,0,11,3,14,0,2,11,11,0,5,3
11,12.0,EST,32,3,8,5,1,12,0,11,5,19,0,6,2
12,13.0,RT,22,13,3,17,1,15,0,8,3,8,6,12,2
13,14.0,SNRS,21,9,2,19,0,13,8,14,0,10,0,10,3
14,15.0,NEAN,18,12,1,16,0,16,0,7,2,3,3,14,0
15,16.0,BAD,17,16,0,13,0,10,4,12,1,6,0,7,2
16,17.0,SXG,16,11,3,18,2,7,1,13,0,14,4,17,0
17,18.0,CLG,9,14,2,12,0,19,0,9,3,18,0,18,0
18,19.0,BBG,7,15,0,9,0,18,0,18,0,16,3,19,1
19,20.0,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0
