,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 19, 2021 - 20:00 ESTWorld's Edge NRG Senior Service Complexity Gaming","Round 1 Round 1 November 19, 2021 - 20:00 ESTWorld's Edge NRG Senior Service Complexity Gaming","Round 2 Round 2 November 19, 2021 - 20:35 ESTWorld's Edge Sentinels Estral Esports Complexity Gaming","Round 2 Round 2 November 19, 2021 - 20:35 ESTWorld's Edge Sentinels Estral Esports Complexity Gaming","Round 3 Round 3 November 19, 2021 - 21:10 ESTWorld's Edge Sentinels Oxygen Esports Premier","Round 3 Round 3 November 19, 2021 - 21:10 ESTWorld's Edge Sentinels Oxygen Esports Premier","Round 4 Round 4 November 19, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Lazarus Estral Esports","Round 4 Round 4 November 19, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Lazarus Estral Esports","Round 5 Round 5 November 19, 2021 - 22:20 ESTWorld's Edge Premier Sentinels eRa Eternity","Round 5 Round 5 November 19, 2021 - 22:20 ESTWorld's Edge Premier Sentinels eRa Eternity","Round 6 Round 6 November 19, 2021 - 22:55 ESTWorld's Edge Torrent Oxygen Esports NRG","Round 6 Round 6 November 19, 2021 - 22:55 ESTWorld's Edge Torrent Oxygen Esports NRG"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SEN,87,6,7,1,10,1,4,14,8,2,14,8,5
1,2.0,COL,51,3,4,3,9,8,4,13,6,4,3,14,2
2,3.0,NRG,49,1,7,6,2,6,7,15,0,16,6,3,1
3,4.0,PGG,47,13,3,9,4,3,8,12,2,1,7,18,0
4,5.0,TOR,47,18,0,4,6,5,3,10,0,8,1,1,12
5,6.0,EST,43,12,3,2,1,12,0,3,9,13,2,4,4
6,7.0,OXG,42,10,2,16,0,2,3,5,2,6,5,2,3
7,8.0,RNG,39,14,2,7,7,15,9,4,2,5,4,13,0
8,9.0,SNRS,37,2,10,8,0,16,2,19,1,18,0,5,9
9,10.0,GHOST,28,17,0,11,0,7,3,1,6,15,0,9,0
10,11.0,LZR,27,7,3,15,0,11,1,2,4,10,0,10,1
11,12.0,LMX,24,8,3,13,2,9,5,9,3,19,0,6,1
12,13.0,UNL,23,4,4,18,0,13,1,11,2,12,5,16,3
13,14.0,NBL,23,9,1,17,0,4,3,8,3,9,2,12,2
14,15.0,DY,20,15,0,10,1,14,1,6,0,7,0,7,5
15,16.0,ERA,16,11,1,14,0,10,0,16,0,3,4,17,0
16,17.0,RT,15,16,0,5,2,19,0,7,6,17,0,19,0
17,18.0,BBG,13,5,4,19,0,17,0,17,0,14,0,15,3
18,19.0,SXG,12,19,0,12,6,18,0,18,1,11,2,11,0
19,20.0,BW,0,0,0,0,0,0,0,0,0,0,0,0,0
