,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 16:00 EDTWorld's Edge Charlotte Phoenix NRG TSM","Round 1 Round 1 October 23, 2021 - 16:00 EDTWorld's Edge Charlotte Phoenix NRG TSM","Round 2 Round 2 October 23, 2021 - 16:35 EDTWorld's Edge Cloud9 NRG Noble","Round 2 Round 2 October 23, 2021 - 16:35 EDTWorld's Edge Cloud9 NRG Noble","Round 3 Round 3 October 23, 2021 - 17:10 EDTWorld's Edge NRG BenchWarmers Cloud9","Round 3 Round 3 October 23, 2021 - 17:10 EDTWorld's Edge NRG BenchWarmers Cloud9","Round 4 Round 4 October 23, 2021 - 17:45 EDTWorld's Edge Cloud9 Premier TSM","Round 4 Round 4 October 23, 2021 - 17:45 EDTWorld's Edge Cloud9 Premier TSM","Round 5 Round 5 October 23, 2021 - 18:20 EDTWorld's Edge Unlucky Cloud9 Legacy MX","Round 5 Round 5 October 23, 2021 - 18:20 EDTWorld's Edge Unlucky Cloud9 Legacy MX","Round 6 Round 6 October 23, 2021 - 18:55 EDTWorld's Edge Renegades Absolute Monarchy CLX","Round 6 Round 6 October 23, 2021 - 18:55 EDTWorld's Edge Renegades Absolute Monarchy CLX"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,C9,97,131,44,112,99,37,1212,112,88,29,1515,54,44
1,2.0,NRG,78,29,1111,29,44,112,1010,63,1010,141,44,82,33
2,3.0,RNG,59,121,99,151,33,151,11,131,88,82,55,112,1515
3,4.0,TSM,43,37,77,111,44,92,66,37,55,92,22,200,0
4,5.0,AM,39,63,0,73,44,141,44,190,0,121,88,29,66
5,6.0,TL,38,92,44,102,55,121,22,54,66,102,11,45,44
6,7.0,CLT,38,112,55,45,1010,131,11,141,0,151,11,111,0
7,8.0,BW,32,151,22,200,0,29,55,82,11,45,33,151,33
8,9.0,NBL,30,141,0,37,33,82,44,151,22,131,33,131,55
9,10.0,PK,27,111,22,160,33,190,11,102,77,63,44,160,44
10,11.0,LMX,25,170,0,82,22,160,0,170,0,37,66,63,55
11,12.0,UNL,25,190,0,63,0,102,44,200,0,112,11,121,22
12,13.0,PGG,25,54,11,92,11,45,22,29,11,170,0,190,0
13,14.0,BP,21,180,0,54,44,200,0,45,0,111,22,73,22
14,15.0,E8,21,73,33,121,11,54,0,92,11,54,0,141,11
15,16.0,CLX,19,102,44,131,0,180,0,180,0,200,0,37,55
16,17.0,GHOST,16,160,0,180,0,111,44,121,33,73,22,92,0
17,18.0,ERA,13,45,11,190,0,63,0,111,33,190,0,170,0
18,19.0,LZR,13,200,0,141,0,73,11,73,11,160,22,102,0
19,20.0,MOAN,2,82,0,170,0,170,0,160,0,180,0,180,0
