,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 18:00 EDTWorld's Edge Complexity Gaming CLX Sentinels","Round 1 Round 1 October 31, 2021 - 18:00 EDTWorld's Edge Complexity Gaming CLX Sentinels","Round 2 Round 2 October 31, 2021 - 18:35 EDTWorld's Edge Pittsburgh Knights Sentinels Built By Gamers","Round 2 Round 2 October 31, 2021 - 18:35 EDTWorld's Edge Pittsburgh Knights Sentinels Built By Gamers","Round 3 Round 3 October 31, 2021 - 19:10 EDTWorld's Edge Dubblyew Elev8 Entertainment Oxygen Esports","Round 3 Round 3 October 31, 2021 - 19:10 EDTWorld's Edge Dubblyew Elev8 Entertainment Oxygen Esports","Round 4 Round 4 October 31, 2021 - 19:45 EDTWorld's Edge Complexity Gaming Buff Pathfinder Charlotte Phoenix","Round 4 Round 4 October 31, 2021 - 19:45 EDTWorld's Edge Complexity Gaming Buff Pathfinder Charlotte Phoenix","Round 5 Round 5 October 31, 2021 - 20:20 EDTWorld's Edge Senior Service Dubblyew Cloud9","Round 5 Round 5 October 31, 2021 - 20:20 EDTWorld's Edge Senior Service Dubblyew Cloud9","Round 6 Round 6 October 31, 2021 - 20:55 EDTWorld's Edge TSM Complexity Gaming Absolute Monarchy","Round 6 Round 6 October 31, 2021 - 20:55 EDTWorld's Edge TSM Complexity Gaming Absolute Monarchy"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,COL,76,112,1010,63,44,200,0,112,1313,92,22,29,99
1,2.0,SEN,66,37,77,29,66,92,33,141,88,102,66,54,1111
2,3.0,DY,55,111,55,82,33,112,77,45,55,29,66,200,0
3,4.0,TSM,48,190,0,180,0,82,55,82,33,45,99,112,1010
4,5.0,BBG,48,151,22,37,99,45,1313,73,33,111,33,141,0
5,6.0,CLX,35,29,55,73,77,131,22,63,33,200,0,82,0
6,7.0,OXG,35,54,33,54,33,37,44,54,33,131,0,102,0
7,8.0,PK,34,63,0,112,99,180,0,200,0,121,55,131,33
8,9.0,AM,31,121,22,111,33,151,33,121,0,82,55,37,55
9,10.0,E8,30,82,11,160,0,29,11,111,33,73,0,45,55
10,11.0,TOR,30,45,55,92,33,121,33,92,0,190,0,73,66
11,12.0,BP,28,102,0,45,44,141,0,29,66,170,0,151,0
12,13.0,SXG,27,92,77,131,44,54,77,170,0,141,11,170,0
13,14.0,SNRS,27,131,0,102,11,73,0,131,0,112,66,121,0
14,15.0,EST,25,200,0,170,0,63,55,151,0,54,55,160,77
15,16.0,TL,24,170,0,190,0,102,11,102,44,63,77,92,33
16,17.0,CLT,21,141,11,200,0,111,0,37,77,160,11,63,0
17,18.0,C9,20,180,22,141,11,170,44,180,44,37,11,180,0
18,19.0,MOAN,13,73,77,121,11,190,0,160,0,151,0,190,0
19,20.0,RT,3,160,0,151,0,160,0,190,11,180,0,111,0
