,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 14:20 BSTWorld's Edge Clean EFG Team plei","Round 1 Round 1 October 9, 2021 - 14:20 BSTWorld's Edge Clean EFG Team plei","Round 2 Round 2 October 9, 2021 - 14:55 BSTWorld's Edge MOB INT Sand Whales Team Huskies Esports","Round 2 Round 2 October 9, 2021 - 14:55 BSTWorld's Edge MOB INT Sand Whales Team Huskies Esports","Round 3 Round 3 October 9, 2021 - 15:30 BSTWorld's Edge Syndicates Clean MOB INT","Round 3 Round 3 October 9, 2021 - 15:30 BSTWorld's Edge Syndicates Clean MOB INT","Round 4 Round 4 October 9, 2021 - 16:05 BSTWorld's Edge","Round 4 Round 4 October 9, 2021 - 16:05 BSTWorld's Edge"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,CLN,72,1,23,8,8,2,7,3,4
1,2.0,SYND,54,7,4,15,0,1,9,1,13
2,3.0,MOB INT,49,10,1,1,16,3,11,16,0
3,4.0,plei,40,3,5,16,0,4,9,6,11
4,5.0,Sand Whales,33,6,1,2,4,15,0,2,6
5,6.0,PRSTS,28,11,5,4,4,14,0,8,10
6,7.0,Kamisato,25,9,0,9,5,11,5,4,5
7,8.0,EFG Team,24,2,4,12,0,8,4,7,1
8,9.0,CRAZYx3,23,17,0,6,9,10,6,10,1
9,10.0,HKE,19,5,3,3,4,18,0,11,0
10,11.0,Ugur Abi,16,12,0,5,2,5,0,5,1
11,12.0,ETB,14,14,3,19,0,16,3,9,5
12,13.0,Convergent,12,4,4,13,0,12,0,13,0
13,14.0,7Hologram,11,13,0,10,0,7,3,19,2
14,15.0,NPS,7,20,0,7,4,17,0,20,0
15,16.0,FriendsofBoomers,6,8,1,14,0,13,0,12,0
16,17.0,ARIS,4,18,0,17,0,6,1,17,0
17,18.0,SquidSquad,4,15,0,18,0,9,0,14,0
18,19.0,TRIADA,2,19,0,11,1,20,0,18,0
19,20.0,GwentPlayer,1,16,0,20,0,19,0,15,0
