Standings,Team.1,Total
1.0,IBSG,54
2.0,FA Club FUG,49
3.0,HE,47
4.0,EniGma,32
5.0,YaBaL,31
6.0,BKMN,29
7.0,SyS,27
8.0,LAG,19
9.0,TVN,14
10.0,Next,14
11.0,JDT,11
12.0,Doria_VS_Gratin,8
13.0,Extreme,4
