,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Sniper Meta,55,55
1,2.0,ZERO,45,45
2,3.0,MOAN,43,43
3,4.0,EST,36,36
4,5.0,Aisle 5,34,34
5,6.0,BQB,33,33
6,7.0,NM,25,25
7,8.0,Tijuana Piranas,24,24
8,9.0,1 vs Lobby,23,23
9,10.0,Coconut Island,21,21
10,11.0,2 Zoomers1boomer,21,21
11,12.0,The Big 3,20,20
12,13.0,NVKT,20,20
13,14.0,NightMare Red,12,12
14,15.0,Distruttori Team,10,10
15,16.0,Lorax,9,9
16,17.0,Alliance Esports,8,8
17,18.0,Exoterran Y,6,6
18,19.0,MAP,2,2
19,20.0,Savage Misfits,0,0
