,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,2B1C,80,80
1,2.0,Content Squad,57,57
2,3.0,Dark Matter,36,36
3,4.0,Yess,30,30
4,5.0,LNT,30,30
5,6.0,WASH,29,29
6,7.0,BOT,25,25
7,8.0,Filii Martis,24,24
8,9.0,pub stars,22,22
9,10.0,Wonderboys,20,20
10,11.0,JOYBOYS,18,18
11,12.0,Blockbuster,16,16
12,13.0,ForcesGG,14,14
13,14.0,Plimbo,12,12
14,15.0,Movement Temple,11,11
15,16.0,RISK,10,10
16,17.0,TeamDreams,5,5
17,18.0,UNDD,4,4
18,19.0,Hold The Door,3,3
19,20.0,Team Name,1,1
