Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round
1.0,eGIRLS,171,1,17,1,12,1,17,1,22,2,13,1,21,Lobby 1,Semifinals
2.0,AIM,56,6,6,4,11,4,4,14,0,4,4,3,5,Lobby 1,Semifinals
3.0,SFD,47,10,0,3,0,6,2,7,0,1,12,4,1,Lobby 1,Semifinals
4.0,SP,35,13,0,12,0,2,5,9,6,12,3,11,6,Lobby 1,Semifinals
5.0,9EX,35,7,4,7,1,3,4,3,3,13,1,13,0,Lobby 1,Semifinals
6.0,VsG,32,3,0,15,0,9,5,13,0,3,4,5,1,Lobby 1,Semifinals
7.0,TVA,26,4,3,10,0,8,0,10,0,9,1,2,0,Lobby 1,Semifinals
8.0,NVS,25,2,2,6,1,10,0,11,0,5,0,9,1,Lobby 1,Semifinals
9.0,FL,24,15,0,2,6,7,0,8,0,10,0,12,0,Lobby 1,Semifinals
10.0,QUAS,23,5,1,9,3,5,1,5,0,8,0,8,0,Lobby 1,Semifinals
11.0,LEO,21,12,0,14,0,13,0,2,1,6,1,6,1,Lobby 1,Semifinals
12.0,Tharsis,18,9,6,5,2,14,0,12,0,14,0,14,0,Lobby 1,Semifinals
13.0,OSO,18,11,0,13,2,11,0,6,2,7,3,10,0,Lobby 1,Semifinals
14.0,NICA,16,8,0,11,0,12,0,4,3,11,0,7,0,Lobby 1,Semifinals
15.0,PVP,4,14,1,8,0,0,0,0,0,0,0,0,0,Lobby 1,Semifinals
1.0,AK47,109,1,16,13,3,10,4,1,15,1,16,1,4,Lobby 2,Semifinals
2.0,KC,94,3,7,1,16,1,17,3,6,4,4,13,0,Lobby 2,Semifinals
3.0,TERM,62,6,3,2,7,9,1,5,3,2,4,3,10,Lobby 2,Semifinals
4.0,COFFE,50,10,1,6,1,14,1,2,4,5,5,2,10,Lobby 2,Semifinals
5.0,Barderos,46,14,0,4,6,2,6,11,0,3,1,6,7,Lobby 2,Semifinals
6.0,Mystical,37,2,3,14,0,3,0,14,3,10,6,9,3,Lobby 2,Semifinals
7.0,GOAT,30,5,6,5,1,6,1,9,3,13,0,10,3,Lobby 2,Semifinals
8.0,2k ping,30,15,0,3,1,4,7,6,4,15,0,14,0,Lobby 2,Semifinals
9.0,DEMON,23,4,2,9,1,5,3,10,1,11,1,12,0,Lobby 2,Semifinals
10.0,Os Minhauu,22,7,0,8,1,7,0,4,2,6,1,8,0,Lobby 2,Semifinals
11.0,eVoLuTioN,15,13,0,7,1,15,0,15,0,8,2,5,0,Lobby 2,Semifinals
12.0,BTK,14,9,1,15,0,8,0,7,0,12,0,11,3,Lobby 2,Semifinals
13.0,S4W,13,12,0,10,1,11,0,12,0,9,0,4,0,Lobby 2,Semifinals
14.0,Corte Verde,12,11,0,12,0,13,0,8,0,7,0,7,1,Lobby 2,Semifinals
15.0,PCO,10,8,3,11,1,12,0,13,0,14,0,0,0,Lobby 2,Semifinals
16.0,Vatos Locos,0,0,0,0,0,0,0,0,0,0,0,0,0,Lobby 2,Semifinals
1.0,COFFE,81,6,5,1,14,15,0,3,5,1,15,5,3,Lobby 1,Finals
2.0,eGIRLS,80,5,11,9,5,3,14,2,8,11,5,4,9,Lobby 1,Finals
3.0,AIM,57,8,2,5,5,9,1,1,9,7,3,3,7,Lobby 1,Finals
4.0,KC,49,2,8,8,6,5,6,6,1,5,4,11,1,Lobby 1,Finals
5.0,GOAT,41,17,0,13,1,4,0,5,7,2,0,2,5,Lobby 1,Finals
6.0,AK47,39,4,5,16,3,18,0,12,3,3,12,6,0,Lobby 1,Finals
7.0,SP,37,12,3,15,0,1,13,9,5,16,0,0,0,Lobby 1,Finals
8.0,TVA,33,7,4,7,0,2,4,13,3,12,0,8,3,Lobby 1,Finals
9.0,SFD,32,11,0,4,2,17,0,18,0,6,2,1,7,Lobby 1,Finals
10.0,Mystical,29,1,10,17,0,14,0,11,3,13,0,14,0,Lobby 1,Finals
11.0,VsG,26,15,1,6,6,12,0,7,2,4,2,9,0,Lobby 1,Finals
12.0,FL,24,9,1,12,3,7,4,8,3,15,0,13,3,Lobby 1,Finals
13.0,2k ping,24,18,0,2,0,8,2,4,0,10,0,10,2,Lobby 1,Finals
14.0,Barderos,21,3,4,11,1,11,6,15,0,0,0,0,0,Lobby 1,Finals
15.0,Os Minhauu,17,16,0,3,4,13,2,16,0,9,0,15,0,Lobby 1,Finals
16.0,TERM,16,19,0,10,3,6,0,14,0,14,0,7,3,Lobby 1,Finals
17.0,QUAS,7,14,0,14,0,16,0,10,0,8,0,12,0,Lobby 1,Finals
18.0,NVS,4,10,0,19,0,10,0,17,0,0,0,0,0,Lobby 1,Finals
19.0,DEMON,1,13,0,18,0,0,0,0,0,0,0,0,0,Lobby 1,Finals
20.0,9EX,0,0,0,0,0,0,0,0,0,0,0,0,0,Lobby 1,Finals
