C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,NXL,78,2,12,7,6,2,7,1,17,19,0,11,2
2.0,BRGR,77,3,5,1,8,4,5,15,0,3,7,1,8
3.0,EXO,72,9,5,2,12,1,6,2,9,13,0,5,3
4.0,MDY.W,43,4,3,8,5,13,3,16,1,4,11,9,5
5.0,STK,43,6,4,5,9,3,9,5,2,16,0,15,0
6.0,WAT,42,13,2,6,7,6,6,13,0,5,4,6,8
7.0,MON,41,1,8,16,0,17,0,7,1,10,0,2,6
8.0,ATH,36,11,0,10,0,16,1,9,6,2,14,13,0
9.0,SNG,36,14,0,14,0,11,3,4,7,17,0,3,11
10.0,PK,28,19,0,13,0,10,1,14,0,1,10,12,0
11.0,ITR,27,5,7,9,0,9,0,6,4,12,0,8,2
12.0,MYTH,22,8,2,4,3,8,3,10,0,8,1,17,0
13.0,BWS,20,12,1,15,0,14,0,8,3,9,0,4,4
14.0,DNN,20,15,0,12,1,5,4,3,0,11,0,19,1
15.0,DREAM,19,10,4,11,2,15,0,11,3,6,0,14,1
16.0,MBTN,15,17,0,3,0,12,3,17,0,15,3,18,0
17.0,WGG,11,16,0,17,3,7,2,18,0,18,0,10,1
18.0,DML,9,7,0,18,0,18,0,12,0,14,0,7,1
19.0,FW,8,18,0,19,0,19,0,19,0,7,5,16,0
20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
