A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RIG,79,12,2,5,2,1,21,7,4,5,3,1,11
2.0,M2,57,14,0,1,18,10,2,17,0,9,3,2,8
3.0,FA,52,15,0,6,2,5,1,10,6,1,17,9,2
4.0,ANT,51,2,8,2,6,12,0,5,2,3,5,17,0
5.0,BRP,49,1,6,17,0,14,1,1,10,4,2,16,0
6.0,Antiaa,40,3,1,14,0,4,2,2,8,6,1,14,2
7.0,LU,35,6,5,4,3,2,6,13,0,10,0,15,0
8.0,DNZ,33,5,13,16,0,3,3,14,0,13,0,12,3
9.0,DF,33,11,0,7,6,7,3,6,3,8,0,6,6
10.0,STB,31,17,0,10,2,15,0,8,1,2,7,4,2
11.0,SLAY,29,10,2,13,3,9,4,12,3,11,0,5,6
12.0,DYN,26,4,4,3,2,13,0,16,0,16,0,3,0
13.0,NLN,22,13,0,12,1,11,2,4,5,7,2,11,0
14.0,OC,19,8,2,9,1,8,2,9,1,17,0,8,3
15.0,WHIZ,18,9,1,11,0,17,0,3,2,15,0,7,1
16.0,EMM,16,7,0,15,0,6,1,11,1,14,4,13,0
17.0,DESI,12,16,0,8,1,16,0,15,0,12,2,10,3
18.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0
