Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,DUMPERS,66,10,5,2,4,1,20,3,4,9,1,17,0
2.0,LM,54,13,3,19,1,8,4,1,11,6,10,16,7
3.0,SAF,50,2,9,12,8,19,0,10,2,2,8,15,1
4.0,LVG,49,4,12,7,3,4,9,6,1,13,3,14,3
5.0,Onyx,47,17,0,10,2,18,0,4,3,1,12,7,8
6.0,RCO,46,9,0,1,8,7,0,17,1,3,5,4,3
7.0,TDG,36,1,3,8,3,3,0,19,0,4,1,8,1
8.0,RL,35,16,1,4,0,14,0,12,0,7,8,2,7
9.0,My Neck My Back,34,20,0,13,1,11,5,2,6,14,0,5,6
10.0,SDO,33,19,0,17,0,6,6,18,0,10,3,1,7
11.0,GSG,32,12,4,5,7,9,4,14,3,12,4,13,0
12.0,CAS,32,14,2,9,8,15,1,9,1,8,2,6,7
13.0,Big3Protagonist,30,18,0,3,8,2,3,7,0,18,0,20,0
14.0,Code Cloud,26,5,5,16,0,13,1,8,9,15,0,11,2
15.0,OA,25,3,2,6,2,10,2,13,1,17,0,9,3
16.0,AST,23,11,3,14,0,17,0,5,12,16,2,18,0
17.0,UORG,18,7,4,20,0,5,1,11,1,11,0,10,1
18.0,Kaged,15,8,0,15,0,16,0,15,0,5,0,3,0
19.0,NM,11,15,0,11,0,12,3,20,1,20,0,12,3
20.0,FluidGaming,8,6,2,18,3,20,0,16,0,19,0,19,0
