Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
8.0,RD,26,5,10,19,0,5,7,16,1,Lobby 4,Quarterfinals,,,,
9.0,Bacalhau,26,12,0,18,0,2,10,7,3,Lobby 4,Quarterfinals,,,,
10.0,OG,23,4,2,8,4,3,2,11,0,Lobby 4,Quarterfinals,,,,
11.0,Sheriffs,21,10,3,10,7,15,5,15,0,Lobby 4,Quarterfinals,,,,
12.0,SPPI,17,11,2,17,0,8,3,6,6,Lobby 4,Quarterfinals,,,,
13.0,JIGSAW,17,7,3,9,3,11,3,8,0,Lobby 4,Quarterfinals,,,,
14.0,3 Jabronies,13,13,0,6,6,6,0,17,0,Lobby 4,Quarterfinals,,,,
15.0,Enoughandmore,10,9,1,15,1,12,3,13,0,Lobby 4,Quarterfinals,,,,
16.0,MZY,9,14,0,12,3,13,1,12,1,Lobby 4,Quarterfinals,,,,
17.0,Kvasna,6,16,0,5,0,9,0,18,0,Lobby 4,Quarterfinals,,,,
18.0,Nuclear Apes,3,15,0,11,0,18,1,19,0,Lobby 4,Quarterfinals,,,,
19.0,Monkey Milkers,3,19,0,13,0,20,0,10,0,Lobby 4,Quarterfinals,,,,
20.0,BOOBA,1,20,0,20,0,17,1,20,0,Lobby 4,Quarterfinals,,,,
1.0,ETH,62,7,3,13,1,1,7,2,6,Lobby 1,Semifinals,4.0,4.0,2.0,2.0
2.0,TD,55,2,8,11,3,11,1,6,5,Lobby 1,Semifinals,5.0,9.0,5.0,7.0
3.0,AAS,55,4,6,7,4,2,13,5,4,Lobby 1,Semifinals,13.0,2.0,11.0,3.0
4.0,SMS,53,1,12,3,4,5,4,12,1,Lobby 1,Semifinals,18.0,3.0,15.0,4.0
5.0,GIGI,52,9,0,1,6,20,0,1,14,Lobby 1,Semifinals,10.0,4.0,19.0,0.0
6.0,FV,49,8,6,8,4,4,5,9,0,Lobby 1,Semifinals,14.0,2.0,1.0,8.0
7.0,BGR,44,12,5,9,3,13,2,10,0,Lobby 1,Semifinals,1.0,8.0,10.0,6.0
8.0,TRIHARD,37,17,3,12,2,12,0,3,5,Lobby 1,Semifinals,3.0,7.0,9.0,2.0
9.0,AUS,32,16,0,5,6,10,3,14,3,Lobby 1,Semifinals,8.0,1.0,4.0,5.0
10.0,BCG,31,10,0,4,9,15,1,17,0,Lobby 1,Semifinals,7.0,3.0,14.0,6.0
11.0,LGN,31,11,3,6,2,6,0,7,2,Lobby 1,Semifinals,6.0,2.0,6.0,6.0
12.0,6bnt,28,6,5,17,3,8,2,4,3,Lobby 1,Semifinals,12.0,1.0,8.0,1.0
13.0,DM,28,19,0,2,7,19,0,8,5,Lobby 1,Semifinals,9.0,3.0,18.0,0.0
14.0,PXL,26,15,0,19,2,18,5,20,0,Lobby 1,Semifinals,2.0,5.0,7.0,1.0
15.0,LegionF,18,18,0,20,0,17,3,19,0,Lobby 1,Semifinals,17.0,0.0,3.0,8.0
16.0,SPIRAL,15,5,2,18,0,9,3,13,0,Lobby 1,Semifinals,11.0,1.0,13.0,0.0
17.0,UTFT,13,14,0,16,0,3,2,15,0,Lobby 1,Semifinals,15.0,0.0,12.0,0.0
18.0,Mat For Victory,12,3,2,15,0,16,1,18,0,Lobby 1,Semifinals,19.0,0.0,17.0,1.0
19.0,MP,11,13,1,10,1,14,3,16,1,Lobby 1,Semifinals,16.0,0.0,16.0,1.0
20.0,Hope Die Last,10,20,0,14,1,7,2,11,2,Lobby 1,Semifinals,20.0,0.0,20.0,0.0
1.0,69IQ,81,1,8,1,9,2,13,12,1,Lobby 2,Semifinals,2.0,4.0,12.0,2.0
2.0,DI,74,3,2,5,4,3,3,1,9,Lobby 2,Semifinals,7.0,6.0,2.0,8.0
3.0,K1CK,69,5,4,4,5,6,4,3,10,Lobby 2,Semifinals,13.0,2.0,1.0,12.0
4.0,CHI,60,2,13,2,4,13,4,4,4,Lobby 2,Semifinals,18.0,3.0,4.0,3.0
5.0,CLN,56,9,8,3,13,12,3,9,0,Lobby 2,Semifinals,10.0,5.0,3.0,6.0
6.0,RD,42,14,2,17,2,7,0,11,6,Lobby 2,Semifinals,1.0,11.0,10.0,2.0
7.0,SCBS,38,10,3,6,5,1,4,10,3,Lobby 2,Semifinals,17.0,0.0,6.0,1.0
8.0,OG,31,4,9,14,3,9,5,15,0,Lobby 2,Semifinals,5.0,1.0,17.0,0.0
9.0,signelunaire,29,12,0,8,1,14,4,2,5,Lobby 2,Semifinals,9.0,1.0,7.0,0.0
10.0,NMS,28,11,2,9,1,15,2,5,7,Lobby 2,Semifinals,4.0,2.0,13.0,0.0
11.0,HKE,23,8,3,7,1,4,6,18,0,Lobby 2,Semifinals,8.0,0.0,15.0,0.0
12.0,Aspirateur,22,18,2,15,2,10,3,16,0,Lobby 2,Semifinals,6.0,5.0,14.0,3.0
13.0,uwuowoboys,21,16,0,16,3,17,1,7,1,Lobby 2,Semifinals,11.0,1.0,5.0,7.0
14.0,Undertaker,21,6,0,13,0,16,1,8,0,Lobby 2,Semifinals,12.0,5.0,9.0,6.0
15.0,TURKs,16,13,1,18,0,5,3,14,3,Lobby 2,Semifinals,15.0,1.0,11.0,0.0
16.0,NIBL,16,15,0,12,0,19,0,19,0,Lobby 2,Semifinals,3.0,4.0,16.0,3.0
17.0,NurzethexStyleS,15,7,0,11,0,11,3,6,2,Lobby 2,Semifinals,19.0,0.0,8.0,0.0
18.0,ATK,11,20,0,10,1,8,3,17,3,Lobby 2,Semifinals,16.0,0.0,18.0,0.0
19.0,Team Volpid,8,19,0,19,4,20,0,13,3,Lobby 2,Semifinals,20.0,0.0,20.0,0.0
20.0,Bacalhau,7,17,0,20,0,18,0,20,0,Lobby 2,Semifinals,14.0,3.0,19.0,3.0
1.0,69IQ,67,17,3,15,0,15,2,1,7,Lobby 1,Finals,1.0,9.0,1.0,8.0
2.0,GIGI,63,5,11,9,1,1,18,4,5,Lobby 1,Finals,13.0,1.0,12.0,2.0
