,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 May 6, 2022 - 18:30 SGTStorm Point YiTuoshi ZeroTwo AIC WIBU","Round 1 Round 1 May 6, 2022 - 18:30 SGTStorm Point YiTuoshi ZeroTwo AIC WIBU","Round 2 Round 2 May 6, 2022 - 19:05 SGTStorm Point ZeroTwo Arena Mains AIC WIBU","Round 2 Round 2 May 6, 2022 - 19:05 SGTStorm Point ZeroTwo Arena Mains AIC WIBU","Round 3 Round 3 May 6, 2022 - 19:40 SGTStorm Point Avenger Arena Mains DRG","Round 3 Round 3 May 6, 2022 - 19:40 SGTStorm Point Avenger Arena Mains DRG","Round 4 Round 4 May 6, 2022 - 20:25 SGTWorld's Edge RYU TEAM Avenger InspirationX","Round 4 Round 4 May 6, 2022 - 20:25 SGTWorld's Edge RYU TEAM Avenger InspirationX","Round 5 Round 5 May 6, 2022 - 21:00 SGTWorld's Edge AIC WIBU CHILL OUT ZeroTwo","Round 5 Round 5 May 6, 2022 - 21:00 SGTWorld's Edge AIC WIBU CHILL OUT ZeroTwo","Round 6 Round 6 May 6, 2022 - 21:35 SGTWorld's Edge Avenger AIC WIBU Phantom","Round 6 Round 6 May 6, 2022 - 21:35 SGTWorld's Edge Avenger AIC WIBU Phantom"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,AVG,77,6,1,7,1,1,10,2,9,18,0,1,12
1,2.0,YTS,70,1,13,11,3,15,2,4,9,5,6,8,2
2,3.0,ZeroTwo,66,2,3,1,9,4,6,9,1,3,6,12,5
3,4.0,AIC WIBU,63,3,4,3,7,19,3,19,0,1,8,2,6
4,5.0,ARENA,51,5,2,2,9,2,9,18,0,11,1,17,0
5,6.0,RYU,41,13,0,4,1,10,2,1,14,14,0,13,0
6,7.0,JET,41,11,0,20,0,9,4,5,0,4,2,5,10
7,8.0,CHILL,39,4,5,17,0,8,1,14,2,2,9,14,4
8,9.0,Phantom,39,14,6,5,3,16,0,10,3,8,5,3,3
9,10.0,Horizon,33,8,0,6,8,5,5,8,0,15,0,10,0
10,11.0,Bots,29,12,3,8,1,6,5,20,0,17,0,4,9
11,12.0,HAKA,26,7,3,13,0,7,4,16,5,13,1,15,0
12,13.0,DRG,26,9,0,9,1,3,4,15,1,6,2,6,0
13,14.0,Systematic,22,10,9,19,0,13,1,12,0,19,1,7,4
14,15.0,KMF,20,15,1,16,0,14,2,7,5,10,3,19,2
15,16.0,DNZY,20,18,3,18,0,20,0,11,3,12,4,16,0
16,17.0,INX,18,19,0,10,1,11,0,3,2,9,3,20,0
17,18.0,OGL,16,16,1,14,3,17,0,13,0,7,5,11,0
18,19.0,MDYB,15,17,0,15,6,18,3,17,1,16,0,9,2
19,20.0,Sanity,10,20,0,12,3,12,0,6,2,20,0,18,0
