Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,DNO,75,9,5,20,0,1,18,5,6,4,13,3,3,Lobby 1
2.0,NBL,72,6,1,3,8,7,4,1,10,1,9,8,1,Lobby 1
3.0,AM,60,1,14,18,0,17,0,2,7,7,4,7,8,Lobby 1
4.0,pub stars,49,14,3,5,7,6,2,3,6,3,5,9,2,Lobby 1
5.0,BW,44,4,11,17,2,3,5,7,6,9,2,16,1,Lobby 1
6.0,LZR,39,19,0,1,13,12,0,15,3,2,0,17,0,Lobby 1
7.0,SMP,33,12,1,13,0,18,1,16,0,14,3,1,13,Lobby 1
8.0,xD,33,3,0,7,0,11,10,4,5,13,1,19,0,Lobby 1
9.0,NEAN,32,8,6,2,6,10,1,9,0,10,1,14,0,Lobby 1
10.0,LMX,31,16,1,9,2,13,0,8,0,5,5,2,5,Lobby 1
11.0,SUP,30,10,1,14,1,9,0,10,1,6,4,4,8,Lobby 1
12.0,YouLikeThatMate?,30,5,1,4,5,8,2,13,3,16,0,5,3,Lobby 1
13.0,EST,29,7,4,10,0,2,6,11,0,17,2,12,1,Lobby 1
14.0,CLX,27,2,5,16,0,15,0,19,0,8,6,15,3,Lobby 1
15.0,RT,21,17,2,12,1,4,1,6,5,19,0,11,2,Lobby 1
16.0,WASH,20,13,0,6,7,14,3,14,0,12,3,18,0,Lobby 1
17.0,BP,14,18,2,19,0,16,2,17,0,11,1,6,5,Lobby 1
18.0,Unlucky,14,15,0,8,2,5,2,18,0,15,1,13,0,Lobby 1
19.0,Aisle 5,13,11,0,11,0,19,0,12,3,18,1,10,4,Lobby 1
20.0,Unsigned Talent,6,20,1,15,4,20,0,20,0,20,0,20,0,Lobby 1
