Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,LFT BKGK,87,1,8,16,1,1,22,5,3,5,1,1,8
2.0,UC,56,2,9,7,8,16,0,1,6,18,0,6,6
3.0,APXRS,49,16,9,10,3,6,6,9,2,1,6,8,2
4.0,BKMN,46,18,2,1,12,5,4,4,2,10,1,13,1
5.0,Black,44,11,4,2,8,11,0,8,4,2,5,11,0
6.0,GW,43,19,0,4,8,14,4,13,6,6,11,9,2
7.0,RPG,40,7,1,3,2,7,5,7,2,16,0,2,5
8.0,LAG,40,6,1,12,1,12,2,3,1,3,5,3,4
9.0,FA Club FUG,32,10,2,6,4,18,3,18,3,13,6,12,7
10.0,NrTv.Vs,31,3,1,5,3,4,0,10,0,7,1,10,3
11.0,YaBaL,30,4,14,15,1,13,0,17,0,12,0,5,3
12.0,Ace1,28,15,3,11,3,9,1,2,8,17,0,16,0
13.0,456,26,20,0,8,3,3,1,11,6,15,3,15,1
14.0,ORB.G,24,17,0,19,0,2,4,12,1,4,3,14,0
15.0,APEX反省会,23,13,1,14,0,15,1,6,7,9,6,18,0
16.0,Atum,21,12,0,9,0,10,0,14,3,8,2,7,5
17.0,WYV,19,5,1,18,0,8,2,16,0,20,0,4,5
18.0,ENG,13,8,0,13,0,17,0,15,3,11,5,17,0
19.0,Solid,3,14,0,20,0,20,0,20,0,14,1,20,0
20.0,EXiA KR,2,9,0,17,0,19,0,19,0,19,0,19,0
