Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,DNZY,79,1,19,3,11,7,9,4,13
2.0,iON-H,50,3,3,7,0,3,9,1,9
3.0,YTS,49,9,0,4,8,2,8,3,10
4.0,LIGJR,44,2,5,1,8,6,1,6,3
5.0,姐妹花,37,5,7,6,3,1,8,16,0
6.0,SOT,26,8,1,2,6,4,1,15,1
7.0,Soosmar slayer,21,4,3,16,0,10,1,2,1
8.0,ZeroTwo,20,7,6,14,0,5,5,14,0
9.0,RYU,19,14,2,11,2,15,3,5,5
10.0,RZ,14,6,2,13,4,17,0,9,2
11.0,Behr,13,10,0,8,2,8,1,10,2
12.0,HKUF,10,13,0,9,5,16,0,8,0
13.0,INEL,8,15,0,10,1,12,0,7,0
14.0,tasi,6,17,0,12,0,11,0,12,3
15.0,SAE,6,16,0,5,0,13,0,11,0
16.0,DX,5,11,0,17,0,9,1,13,0
17.0,X SPLITS,3,12,0,15,0,14,0,17,0
18.0,CR4KD,0,0,0,0,0,0,0,0,0
19.0,SXT,0,0,0,0,0,0,0,0,0
